,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,REGULAR FIT CROPPED PANTS_LIGHT BEIGE,COQ,2010976,2021F/W, 남 ,,,64,5,후기 6개 보기,,"43,188 ~ 47,200원"
1,REGULAR FIT CROPPED PANTS_BEIGE,COQ,2010977,2021F/W, 남 ,,,70,5,후기 6개 보기,,"43,188 ~ 47,200원"
2,HIGH-WAISTED SLIM FLARED PANTS - BEIGE,MMINM,WT21PT015BE01,2021F/W, 여 ,,,11,,,  #하이웨이스트 #슬림핏 #플레어 #부츠컷 #슬림 #긴바지 #베이지  ,"91,774 ~ 100,300원"
3,남성 뒷밴딩 코듀로이 팬츠 MMPTK6011-900,ANTONY MORATO,MMPTK6011-900_G,2021F/W, 남 ,,,0,,,,"142,191 ~ 155,400원"
4,남성 뒷밴딩 코듀로이 팬츠 MMPTK6011-270,ANTONY MORATO,MMPTK6011-270_G,2021F/W, 남 ,,,0,,,,"142,191 ~ 155,400원"
5,코듀로이 플리츠 팬츠_핑크,DEWE HEART DEWE,CORDUROY PLEATS PANTS_PINK,2021F/W, 여 ,,,23,5,후기 1개 보기,  #캐주얼팬츠 #긴바지 #코듀로이 #코듀로이팬츠 #골덴 #골덴바지 #핑크바지  ,"71,370 ~ 78,000원"
6,코튼 와이드 팬츠_블랙,LIMELIKE,12243266,2021F/W, 여 ,,,0,,,,"65,880 ~ 72,000원"
7,골덴솔리드팬츠,STYLEBYMIIN,OBAWIBT12004,2021F/W, 여 ,,,2,,,  #밴딩팬츠 #면바지 #코듀로이 #코튼팬츠 #면팬츠 #캐주얼팬츠  ,"154,635 ~ 169,000원"
8,주아포켓바지,STYLEBYMIIN,OBAWIBT12005,2021F/W, 여 ,,,1,,,  #면팬츠 #팬츠 #면바지 #캐주얼팬츠 #코튼팬츠 #밴딩팬츠 #플라워패턴  ,"154,635 ~ 169,000원"
9,보네따포켓바지,STYLEBYMIIN,OBJWIBT10008,2021F/W, 여 ,,,0,,,  #밴딩팬츠 #팬츠 #캐주얼팬츠 #코튼팬츠 #면팬츠 #기본바지 #겨울바지  ,"172,935 ~ 189,000원"
10,투턱 와이드 캐치온 팬츠 (라이트브라운),KAPPY DESIGN,바지,2021F/W, 남 ,,,15,,,,"90,585 ~ 99,000원"
11,Side One Tuck Easy Pants -Beige-,COLDWARM,2021fwsotep,2021F/W, 남 ,,,1,,,  #바지 #면바지 #긴바지 #테이퍼드핏 #기본바지 #코튼팬츠  ,"78,690 ~ 86,000원"
12,Side One Tuck Easy Pants -Charcoal-,COLDWARM,2021fwsotep,2021F/W, 남 ,,,3,,,  #면팬츠 #밴딩팬츠 #긴바지 #바지 #기본바지 #캐주얼팬츠 #와이드팬츠  ,"78,690 ~ 86,000원"
13,플라워 자카드 팬츠 그레이,ELLONARC,EL21FW-PT011,2021F/W, 여 ,,,10,5,후기 2개 보기,,"62,220 ~ 68,000원"
14,CORDUROY WIDE PANTS_PURPLE,PINK PINEAPPLE,m1037_765174,2021F/W, 여 ,,,27,,,  #겨울바지 #코듀로이팬츠 #겨울팬츠 #퍼플팬츠 #보라색바지 #보라색코듀로이바지  ,"72,285 ~ 79,000원"
15,Corduroy Pants,RENEJ,21AWP28,2021F/W, 여 ,,,7,,,,"105,225 ~ 115,000원"
16,[여성용] 와이드 이지팬츠 (코듀로이) 네이비 CW214PT01SNV,CHIQUITA,434847,2021F/W, 여 ,,,6,,,,"87,840 ~ 96,000원"
17,Rivet Corduroy Pants_BR,ANEDIT,AN21WB3003BR00,2021F/W, 여 ,,,11,,,  #코듀로이팬츠 #골덴바지 #캐주얼팬츠 #와이드팬츠 #코듀로이 #코튼팬츠 #면바지  ,"99,735 ~ 109,000원"
18,헤링본 컴포트핏 카고 팬츠(베이지),VOLCOM,VA221PT001BE,2022S/S, 남 ,,,6,,,  #바지 #팬츠 #셋업 #조거팬츠 #트레이닝바지 #트레이닝팬츠 #스웻팬츠  ,"70,821 ~ 77,400원"
19,플래토 카고 테이퍼드 코튼 팬츠 OMPTL1104-509,ONEILL,OMPTL1104-509,2022S/S, 남 ,,,7,,,,"136,335 ~ 149,000원"
20,페이스 볼륨 트라우져 베이지,COFWI,22SSRTSOPT061,2022S/S, 남 ,,,28,4.8,후기 10개 보기,  #바지 #캐주얼팬츠 #와이드팬츠 #팬츠 #밴딩팬츠 #면바지 #코튼팬츠  ,"65,056 ~ 71,100원"
21,CORDUROY STRAIGHT PANTS,DEBBY UPPER,DBAIPT01AMU1,2021F/W, 여 ,,,3,,,,"99,735 ~ 109,000원"
22,CORDUROY STRAIGHT PANTS,DEBBY UPPER,DBAIPT01ACR1,2021F/W, 여 ,,,7,,,,"99,735 ~ 109,000원"
23,CORDUROY STRAIGHT PANTS,DEBBY UPPER,DBAIPT01ABG1,2021F/W, 여 ,,,3,5,후기 2개 보기,,"99,735 ~ 109,000원"
24,(22SS) DG72210045 1505172 플리티드 치노 NAVY,GANT,DG72210045a,2021F/W, 여 ,,,1,,,,"181,170 ~ 198,000원"
25,(22SS) DG72210043 1500380 홀덴 스포츠 치노 GREY,GANT,DG72210043b,2021F/W, 여 ,,,0,,,,"162,870 ~ 178,000원"
26,컴피 코튼 스트링 팬츠 (BLACK),MOAA,22SS-008,2022S/S, 남 ,300회 이상,,46,,,,"63,135 ~ 69,000원"
27,투턱 와이드 테이퍼드팬츠(네이비),TAKEASY,T22PT007,2022S/S, 남 ,,,22,5,후기 6개 보기,  #테이퍼드핏 #와이드핏 #와이드팬츠 #남자바지 #면바지 #팬츠 #바지  ,"43,188 ~ 47,200원"
