,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,에센셜 고신축 남성 쇼츠 (KHAKI),DISCOVERY EXPEDITION,DMSP5A023-KAS,2022S/S, 남 ,,,0,,,  #디스커버리 #디스커버리쇼츠 #디스커버리반바지 #에센셜팬츠 #고신축 #남성반바지 #디커쇼츠  ,"72,285 ~ 79,000원"
1,피그먼트 심볼 로고 스웨트 쇼츠 차콜,PARTIMENTO,Pigment Symbol Logo Sweat Shorts Charcoal,2022S/S, 남 ,,,64,,,  #반바지 #하프팬츠 #버뮤다팬츠 #쇼츠 #숏팬츠 #밴딩반바지 #피그먼트  ,"34,678 ~ 37,900원"
2,와이드 밴딩 하프 치노 팬츠 [L.BEIGE],DRAW FIT,DFPT2209LBE,2022S/S, 남 ,3.8천 회 이상,50개 이상,744,4.9,후기 40개 보기,  #반바지 #남자반바지 #숏팬츠 #하프팬츠 #치노팬츠 #버뮤다팬츠 #와이드팬츠  ,"47,520 ~ 49,500원"
3,라탄 선다이얼 코튼 커브라인 팬츠 CAMEL NACU4-WPL300_530,COMGEN,NACU4-WPL300_530,2022S/S, 여 ,,,2,,,,"163,785 ~ 179,000원"
4,CURRENCY PANTS (NAVY),WKNDRS,WK21SSPT17NV,2021S/S, 남 ,1.3천 회 이상,500개 이상,"1,379",4.9,후기 241개 보기,  #캐주얼팬츠 #밴딩팬츠 #코튼팬츠 #바지 #치노팬츠 #팬츠 #면팬츠  ,"80,703 ~ 88,200원"
5,[사은품 증정]솔리드 코튼 투 턱 와이드 팬츠 DCPT007BLACK,DECET,DCPT007BLACK,2022S/S, 남 ,1.6천 회 이상,50개 이상,144,4.8,후기 129개 보기,  #와이드팬츠 #투턱팬츠 #치노팬츠 #코튼팬츠 #캐주얼팬츠 #데님팬츠 #와이드핏  ,"46,455 ~ 57,000원"
6,오프 화이트 벨티드 페이퍼백 와이드 롱 팬츠 OFF WHITE NACU4-WPL030_100,COMGEN,NACU4-WPL030_100,2022S/S, 여 ,,,0,,,,"163,785 ~ 179,000원"
7,릴렉스핏원턱풀밴딩크롭팬츠 MVPT3150,MINDBRIDGE,MVPT3150,2021S/S, 남 ,1.2천 회 이상,100개 이상,211,4.7,후기 71개 보기,  #와이드팬츠 #조거팬츠 #코튼팬츠 #벌룬팬츠 #치노팬츠 #크롭팬츠 #면바지 #유스  ,"36,508 ~ 39,900원"
8,린넨 원턱 와이드 밴딩팬츠 블랙,GAKKAI UNIONS,GU-0201BK,2022S/S, 남 ,1.2천 회 이상,50개 미만,111,4.9,후기 7개 보기,  #린넨 #밴딩 #핀턱 #원턱 #와이드 #와이드팬츠 #린넨팬츠  ,"37,632 ~ 39,200원"
9,Two Tuck Wide Cotton Pants - Beige,NOT4NERD,PT054BG,2022S/S, 남 ,1.5천 회 이상,50개 미만,132,5,후기 10개 보기,  #와이드팬츠 #코튼팬츠 #치노팬츠 #밴딩팬츠 #벌룬팬츠 #투턱팬츠 #면바지  ,"44,835 ~ 49,000원"
