,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,조인 밴딩 팬츠,URAGO,1004312,2020S/S, 여 ,700회 이상,50개 이상,253,4.7,후기 81개 보기,,"45,887 ~ 50,150원"
1,0278 mer two tuck wide blue linen,FATALISM,F0278,2022S/S, 남 ,7.4천 회 이상,50개 이상,221,5,후기 20개 보기,  #청바지 #페이탈린넨데님 #연청 #바지 #와이드청바지 #와이드팬츠 #벌룬팬츠  ,"53,395 ~ 59,000원"
2,essential 스트링 세미 와이드 팬츠 (블랙),BRENSON,BR442,2020S/S, 남 ,300회 이상,200개 이상,870,4.7,"후기 1,405개 보기",  #바지 #와이드팬츠 #조거트레이닝 #조거팬츠 #트레이닝 #스트링 #트레이닝세트  ,"27,900원"
3,ATC FC SLIT TRACKPANTS : ATC FC 슬릿 트랙 팬츠 스카이블루,ALL THAT CAKE,A22SMPT01SK00,2022S/S, 여 ,,,26,,,  #트랙팬츠 #트레이닝팬츠 #밴딩팬츠 #셋업  ,"87,840 ~ 96,000원"
4,[22SS] 마일(여름용) 벌룬 스웨트 팬츠 백오트밀 BJLP4503,PERSTEP,2232260,2022S/S, 남 ,500회 이상,,57,5,후기 2개 보기,  #와이드 #바지 #트레이닝바지 #밴딩팬츠 #트레이닝팬츠 #와이드팬츠 #여름바지  ,"29,463 ~ 32,200원"
5,[SS ver.]헤비웨이트 투턱 스트링 스웨트팬츠_블랙,KIIMUIR,KBBS1PL060BK,2022S/S, 남 여 ,3.1천 회 이상,200개 이상,789,4.8,후기 297개 보기,  #트레이닝팬츠 #트레이닝바지 #스웻팬츠 #조거팬츠 #조거 #와이드 #레귤러  ,"38,300원"
6,와이드 스웨트팬츠 네이비,GAKKAI UNIONS,GU01BTNV,2022S/S, 남 ,1.6천 회 이상,300개 이상,747,4.8,"후기 4,744개 보기",  #와이드 #와이드팬츠 #일자 #트레이닝 #이지웨어 #밴딩팬츠 #루즈핏  ,"35,430 ~ 37,100원"
7,[여름] 나일론 레귤러 입체포켓 조거 스토퍼 BLACK,SEVENSELAH,SMTNJ02BK,2022S/S, 남 ,900회 이상,100개 이상,214,4.9,후기 71개 보기,,"31,549 ~ 36,900원"
8,유니 AD 9부 배색블락 밴딩 팬츠_화이트,TBJ,T191PT040P_WHT,400회이상, 남 ,400회 이상,50개 미만,33,4.8,후기 12개 보기,,"7,228 ~ 7,900원"
9,크리스탈 크로스 2way 조거 - 블랙,ROCKCAKE,RC21HD003,2021F/W, 남 여 ,7.4천 회 이상,1.2천 개 이상,"8,315",4.8,후기 394개 보기,  #조거팬츠 #스웨트팬츠 #조거 #조거바지 #팬츠 #바지 #스웻팬츠  ,"54,600원"
10,와이드 밴딩 슬랙스 블랙,ACOVER,ACP21408,2020F/W, 여 ,1.1천 회 이상,100개 이상,914,4.7,후기 167개 보기,,"23,800원"
11,와이드 턱 벌룬핏 밴딩 슬랙스 (D.BROWN),TOFFEE,T1F-WBFBSL,2021F/W, 남 ,2.6천 회 이상,500개 이상,"1,357",4.8,후기 595개 보기,  #와이드팬츠 #와이드슬랙스 #슬랙스 #토피바지 #토피와이드 #밴딩팬츠 #벌룬핏  ,"39,000원"
12,Banding Zipper Tapered Slacks - Khaki Brown,GARMENT LABLE,GBFMSLT102,2020F/W, 남 ,1.5천 회 이상,100개 이상,317,4.8,후기 208개 보기,,"34,724 ~ 37,950원"
13,세미 와이드 핏 반반 숏 팬츠  피그먼트 챠콜,GOSTREET,2022SUMMER,2022S/S, 남 ,,,4,,,  #쇼츠 #숏팬츠 #여름바지 #밴딩팬츠 #밴딩반바지 #남자반바지 #반바지  ,"54,318 ~ 59,400원"
14,CAPRI COLORING BANDING SHORTS - KHAKI,MAYNOV1722,M-MT1045,2022S/S, 남 여 ,,,5,,,  #반바지 #남자반바지 #숏팬츠 #하프팬츠 #바지 #밴딩반바지  ,"44,469 ~ 48,600원"
15,SIDEPOCKET BANDING SHORTS - BLUE,MAYNOV1722,M-MT1036,2022S/S, 남 여 ,,,3,,,  #반바지 #팬츠 #남자반바지 #밴딩팬츠 #밴딩반바지 #숏팬츠 #바지  ,"37,057 ~ 40,500원"
16,유틸리티 쇼츠 [레드],MUSINSA STANDARD,MHPT3005-RE,1.9천회이상, 남 ,1.9천 회 이상,200개 이상,333,4.8,"후기 46,531개 보기",  #반바지 #벨티드팬츠 #아웃도어 #올데이쇼츠 #하프팬츠 #쇼츠컬렉션  ,"20,630 ~ 21,490원"
17,G Logo Shorts - Pink 3,GOODDAYMATE,P00000HP000A,2022S/S, 남 ,,,0,,,,"96,075 ~ 105,000원"
18,[22SS] 스넉트레이닝 숏팬츠 그레이 STSP3431,TWN,2233607,2022S/S, 남 ,,,8,,,  #쇼츠 #트레이닝쇼츠 #반바지 #여름바지 #밴딩팬츠 #밴딩반바지 #하프팬츠  ,"28,548 ~ 31,200원"
19,CAPRI COLORING BANDING SHORTS - BEIGE,MAYNOV1722,M-MT1044,2022S/S, 남 여 ,,,3,,,  #쇼츠팬츠 #바지 #밴딩반바지 #밴딩팬츠 #숏팬츠 #남자반바지 #반바지  ,"44,469 ~ 48,600원"
20,LINEN BANDING SHORTS - BEIGE,MAYNOV1722,M-MT1031,2022S/S, 남 여 ,,,3,,,  #바지 #숏팬츠 #반바지 #팬츠 #남자반바지 #밴딩팬츠 #밴딩반바지  ,"46,116 ~ 50,400원"
21,LINEN BANDING SHORTS - PURPLERED,MAYNOV1722,M-MT1032,2022S/S, 남 여 ,,,3,,,  #밴딩팬츠 #팬츠 #바지 #남자반바지 #반바지 #밴딩반바지  ,"46,116 ~ 50,400원"
22,SIDEPOCKET BANDING SHORTS - CREAM,MAYNOV1722,M-MT1037,2022S/S, 남 여 ,,,3,,,  #반바지 #하프팬츠 #남자반바지 #밴딩팬츠 #팬츠 #바지 #밴딩반바지  ,"37,057 ~ 40,500원"
23,Goodday Shorts - Yellow 3,GOODDAYMATE,P00000HS000A,2022S/S, 남 ,,,0,,,,"93,330 ~ 102,000원"
24,G Logo Shorts - Beige 3,GOODDAYMATE,P00000HR000A,2022S/S, 남 ,,,0,,,,"93,330 ~ 102,000원"
25,G Logo Shorts - Black 3,GOODDAYMATE,P00000HQ000A,2022S/S, 남 ,,,0,,,,"96,075 ~ 105,000원"
26,CAPRI COLORING BANDING SHORTS - NAVY,MAYNOV1722,M-MT1043,2022S/S, 남 여 ,,,3,,,  #밴딩팬츠 #밴딩반바지 #바지 #반바지 #남자반바지 #남녀공용 #숏팬츠  ,"44,469 ~ 48,600원"
27,LINEN BANDING SHORTS - BLACK,MAYNOV1722,M-MT1030,2022S/S, 남 여 ,,,3,,,  #하프팬츠 #쇼츠팬츠 #반바지 #밴딩팬츠 #팬츠 #바지 #남자반바지  ,"46,116 ~ 50,400원"
28,SIDEPOCKET BANDING SHORTS - KHAKIBEIGE,MAYNOV1722,M-MT1038,2022S/S, 남 여 ,,,3,,,  #팬츠 #반바지 #바지 #밴딩팬츠 #밴딩반바지 #여름바지 #남자반바지  ,"37,057 ~ 40,500원"
