,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,언발 버튼 울 수트 팬츠,MAN ON THE BOON,2201453690,2022S/S, 남 ,,,0,,,,"253,455 ~ 277,000원"
1,밴딩 리얼 와이드 슬랙스[딥브라운],SIGNATURE,SA-M12,2021F/W, 남 ,1.6천 회 이상,200개 이상,641,4.7,후기 201개 보기,  #남자슬랙스 #밴딩팬츠 #와이드슬랙스 #슬랙스팬츠 #밴딩 #슬랙스 #트라우저  ,"32,518 ~ 39,900원"
2,텐셀 린넨 와이드 슬랙스 크림(내추럴) [asp_026],ASP,76sspa026,2021S/S, 남 ,1만 회 이상,300개 이상,"1,038",4.9,후기 115개 보기,  #여름슬랙스 #여름바지 #린넨슬랙스 #린넨와이드 #와이드팬츠 #시티보이 #와이드슬랙스  ,"61,305 ~ 67,000원"
3,온앤오프 4부 워터 숏츠 애쉬베이지 (UN221CHP68),UMBRO,UN221CHP68_ABE,2022S/S, 남 ,,,9,5,후기 5개 보기,,"72,285 ~ 79,000원"
4,글로시 나일론 쇼츠 블루,PARTIMENTO,Glossy Nylon Shorts Blue,2022S/S, 남 ,700회 이상,,43,4.9,후기 12개 보기,  #반바지 #숏팬츠 #와이드팬츠 #하프팬츠 #밴딩팬츠 #나일론반바지 #글로시  ,"27,358 ~ 29,900원"
5,CB 와샤 스트링 하프팬츠 (블랙),CARGOBROS,CB223301,2022S/S, 남 ,,,4,5,후기 1개 보기,  #반바지추천 #쇼츠 #하프팬츠 #여름바지 #남자반바지  ,"45,567 ~ 49,800원"
6,컴뱃 쿨링 하프팬츠(블랙),NINETY PLUS,21032,2022S/S, 남 ,,,4,,,  #바지 #팬츠 #반바지 #하프팬츠 #반바지추천 #트레이닝쇼츠 #여름바지  ,"35,593 ~ 38,900원"
7,22SS07AT022 사이드 스냅 벌룬핏 반바지 (블랙),ATTENTIONROW,22SS07AT022,2022S/S, 남 ,,,13,,,  #여름바지 #트레이닝팬츠 #트레이닝바지 #반바지 #팬츠 #바지 #밴딩팬츠 #메타버스  ,"56,200 ~ 62,100원"
8,Clean Denim Bermuda Two Tuck Shorts [Indigo],XERO,2022HS31,2022S/S, 남 ,1.1천 회 이상,,79,,,  #데님쇼츠 #하프팬츠 #쇼츠 #숏팬츠 #버뮤다팬츠 #반바지 #논페이드  ,"44,835 ~ 49,000원"
9,ATG TERRY HALF SHORTS GRAY,APE THE GREAT&SPORT,KA22WP01M191,2022S/S, 여 ,,,1,,,  #반바지 #팬츠 #여름바지 #바지 #밴딩반바지 #숏팬츠 #하프팬츠  ,"80,990 ~ 89,000원"
