,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,[Woman]오디너리 와이드 린넨 팬츠_Cream,LAFUDGE FOR WOMAN,m1037_815297,2022S/S, 여 ,3.4천 회 이상,50개 이상,393,4.1,후기 111개 보기,  #테이퍼드 #와이드팬츠 #린넨팬츠 #린넨 #원턱팬츠 #와이드 #밴딩팬츠  ,"27,267 ~ 29,800원"
1,와이드 히든 밴딩 크롭 슬랙스 [네이비],MUSINSA STANDARD,MIPS0006-NA,1.4천회이상, 남 ,1.4천 회 이상,200개 이상,290,4.8,"후기 7,470개 보기",  #루즈핏 #밴딩슬랙스 #셋업팬츠 #와이드핏 #정장바지 #퍼펙트슬랙스 #밴딩 #와이드 #무탠픽업  ,"31,584 ~ 32,900원"
2,모즈 울 릴렉스드 턱 슬랙스 [DUSTY CREAM],DRAW FIT,DFPT1301DSCR,2022S/S, 남 ,1.6천 회 이상,400개 이상,944,4.8,후기 930개 보기,  #남자슬랙스 #슬랙스 #하의 #셋업 #바지 #슬랙스팬츠 #밴딩슬랙스  ,"59,616 ~ 62,100원"
3,세미와이드 코튼 스판 팬츠_카키,NMX,nmx1,1.5천회이상, 남 ,1.5천 회 이상,100개 이상,560,4.8,후기 167개 보기,  #밴딩팬츠 #유니섹스 #일자 #남녀공용 #슬랙스 #캐주얼팬츠  ,"43,188 ~ 47,200원"
4,내츄럴 루즈핏 팬츠,GLW,20SMGP12,2021F/W, 남 ,400회 이상,100개 이상,529,4.6,후기 112개 보기,  #루즈핏 #와이드 #크림진 #면  ,"35,868 ~ 39,200원"
5,CP-802 Linen wide pants_Navy,HALBKREIS,CP-802_NV,2022S/S, 남 ,,,17,4.8,후기 5개 보기,  #여름바지 #밴딩팬츠 #린넨 #와이드팬츠 #리넨 #밴딩 #와이드  ,"44,835 ~ 49,000원"
6,슈퍼 와이드 히든 밴딩 크롭 슬랙스 [더스티 베이지],MUSINSA STANDARD,MMAPS101-UI,2021S/S, 남 ,800회 이상,200개 이상,515,4.8,후기 549개 보기,  #와이드팬츠 #정장바지 #긴바지 #루즈핏 #와이드핏 #셋업 #퍼펙트슬랙스 #무탠픽업  ,"33,504 ~ 34,900원"
7,자이언트핏 스몰라쿠 와이드팬츠(멜란지그레이),TAKEASY,T22PT003,2022S/S, 남 ,1천 회 이상,100개 이상,374,4.9,후기 161개 보기,  #와이드팬츠 #트레이닝팬츠 #스웻팬츠 #스웨트팬츠 #밴딩팬츠 #트레이닝바지  ,"40,351 ~ 44,100원"
8,[22SS] 이너프 조거팬츠 블랙 JELP3435,TWN,2223066,2022S/S, 남 ,,50개 미만,33,4.9,후기 9개 보기,  #조거 #스웻팬츠 #긴바지 #조거바지 #조거팬츠 #팬츠 #밴딩팬츠  ,"29,463 ~ 32,200원"
9,컴뱃 와이드 조거 팬츠_Black,LAFUDGESTORE,m1037_834112,2022S/S, 남 여 ,3.5천 회 이상,100개 이상,526,4.6,후기 65개 보기,  #워터프루프 #방수 #레인 #우비 #조거바지 #셋업  ,"19,900원"
