,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,BASIC SWEATPANTS,UNION BLUE,UNION-PT07,2021F/W, 남 ,200회 이상,,27,4.8,후기 16개 보기,,"49,410 ~ 54,000원"
1,플리스 조거팬츠 블랙,TEDDYPOP,자체상품코드,2021F/W, 남 ,300회 이상,50개 미만,56,4.4,후기 19개 보기,  #플리스 #후리스 #조거 #조거팬츠 #플리스조거 #바지 #팬츠  ,"35,685 ~ 39,000원"
2,어센틱 트레이닝 팬츠 블랙 STLP3408,TWN,2167520,2021F/W, 남 ,,50개 이상,97,4.8,후기 137개 보기,  #바지 #긴바지 #트레이닝팬츠 #팬츠 #스웻팬츠  ,"29,952 ~ 31,200원"
3,리플렉트 파이핑 밴딩 카고 조거 팬츠 그레이,NUPER,NP21PT04,2021F/W, 여 ,,,22,5,후기 3개 보기,  #트레이닝팬츠 #조거바지 #조거팬츠 #바지 #밴딩팬츠 #남자밴딩팬츠 #재귀반사  ,"62,220 ~ 68,000원"
4,LOOSE SWEATPANTS (BLACK),ETCE,21-FW-PT-LOOSE SWEATPANTS-BK,2021F/W, 남 ,,50개 미만,41,5,후기 51개 보기,  #츄리닝 #스웨트팬츠 #팬츠 #스웻팬츠 #조거팬츠 #트레이닝바지 #트레이닝팬츠  ,"62,220 ~ 68,000원"
5,빅 타이포 조거(Jogger) 밴딩 팬츠 화이트,BONIEE,22ss,2022S/S, 여 ,,50개 미만,279,4.8,후기 5개 보기,  #여자조거팬츠 #트레이닝바지 #조거팬츠 #밴딩팬츠 #조거팬츠컬렉션 #조거 #조거바지  ,"31,680 ~ 33,000원"
6,BELINE PUCKERING PANTS MSTTP004-BK,MASSNOUN,MSTTP004-BK,2022S/S, 남 ,700회 이상,50개 미만,209,4.8,후기 11개 보기,  #밴딩팬츠 #조거팬츠 #트레이닝팬츠 #트레이닝바지 #트레이닝복 #트레이닝셋업 #트랙팬츠  ,"99,735 ~ 109,000원"
7,앰버 와이드 기모 스웨트팬츠 차콜 KJLP2374,JEMUT,2176301,2021F/W, 남 ,300회 이상,50개 이상,88,4.9,후기 269개 보기,  #스웻팬츠 #트레이닝 #밴딩팬츠 #조거팬츠 #바지 #트레이닝바지  ,"29,463 ~ 32,200원"
8,레소토 코듀로이 조거 팬츠 카키브라운 JJLP7526,WV PROJECT,2180253,2021F/W, 남 ,1.3천 회 이상,100개 이상,187,4.5,후기 114개 보기,  #팬츠 #밴딩팬츠 #바지 #스웨트팬츠 #스웻팬츠 #조거팬츠 #조거  ,"31,293 ~ 34,200원"
9,원턱 나일론 와이드 스트레치 조거팬츠_그레이,THAT'S IT,210071,2021F/W, 남 ,900회 이상,50개 이상,166,4.5,후기 66개 보기,  #트레이닝바지 #트레이닝팬츠 #츄리닝바지 #조거팬츠 #트레이닝 #조거바지 #밴딩팬츠  ,"39,528 ~ 43,200원"
10,에센셜 원턱와이드 스트링팬츠 (그레이),RAW LAB,ESSENTIAL WIDE STRING PANTS_GRAY,2021F/W, 남 ,100회 이상,50개 미만,108,5,후기 10개 보기,  #스웨트팬츠 #와이드팬츠 #트레이닝바지 #스웻팬츠 #추리닝 #트레이닝팬츠 #스트링팬츠  ,"40,351 ~ 44,100원"
11,비기닝 콜리지 조거팬츠_블랙,AFRESH,P00000BE,2021F/W, 남 여 ,900회 이상,50개 미만,100,4.8,후기 38개 보기,  #트레이닝셋업 #남자조거팬츠 #여자조거팬츠 #데일리팬츠 #세트상품 #조거트레이닝 #애슬레저  ,"34,000원"
12,베네핏 조거 스웨트 팬츠-그레이,FILLUMINATE,Benefit Jogger Sweat Pants,ALLF/W, 남 여 ,1.2천 회 이상,100개 이상,190,4.8,후기 102개 보기,  #조거팬츠 #스웨트팬츠 #트레이닝바지 #밴딩팬츠 #셋업 #21F/W컬렉션  ,"35,685 ~ 39,000원"
13,(21FW) 벨벳 트랙 팬츠 버건디,NERDY,PNEF21KB0408,2021F/W, 남 ,,,54,3,후기 2개 보기,  #벨벳 #트랙팬츠 #트랙세트 #트랙셋업 #트레이닝팬츠  ,"68,352 ~ 71,200원"
14,[21Winter] Classic Fleece Pants_Women (Light Grey),CLOVE,12416596,2021F/W, 남 ,1.1천 회 이상,50개 이상,81,4.8,후기 19개 보기,,"96,390 ~ 119,000원"
15,AS 테이퍼 FLC 드라이 트레이닝바지 CZ6380-010,NIKE,CZ6380-010,병행수입, 남 ,400회 이상,50개 이상,358,4.5,후기 12개 보기,,"63,600원"
16,DART LOGO TRACK PANTS (BLACK),ETCE,21-SS-PT-DART LOGO TRACK-BK,2021F/W, 남 ,,,32,4.4,후기 5개 보기,  #트레이닝복 #조거팬츠 #트레이닝팬츠 #밴딩팬츠 #트랙팬츠 #바지 #스웨트팬츠  ,"39,802 ~ 43,500원"
17,RLJP704 유틸리티 카고 팬츠 - 블랙,ROYALLIFE,RLJP704BK,2020F/W, 남 ,1.3천 회 이상,50개 미만,230,4.8,후기 52개 보기,  #긴바지 #바지 #유틸리티팬츠 #조거팬츠 #카고팬츠 #카고조거팬츠 #트랙팬츠  ,"63,135 ~ 69,000원"
