,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,Tencel Ankle Two Tuck Slacks Charcoal,ASHOUR,A22-BS03-CC,2022S/S, 남 ,,,14,5,후기 2개 보기,  #코튼팬츠 #와이드핏 #와이드팬츠 #남자바지 #여름바지 #린넨팬츠 #밴딩팬츠  ,"58,680 ~ 72,000원"
1,Tencel Linen Culotte Pants,NARU KANG,6421580457,2022S/S, 여 ,,,2,,,  #슬랙스팬츠 #와이드팬츠 #와이드슬랙스 #여름슬랙스 #봄슬랙스 #와이드핏 #슬랙스  ,"126,270 ~ 138,000원"
2,OG ONE TUCK WIDE SLACKS _ WHITE,FRIZMWORKS,FZWOGPT054,2022S/S, 남 ,1.1천 회 이상,,62,5,후기 3개 보기,  #와이드 #와이드슬랙스 #슬랙스 #슬랙스팬츠 #바지  ,"59,978 ~ 65,550원"
3,남성 스트레치 에어 슬랙스 팬츠,DESCENTE,SN221DPT62,2022S/S, 남 ,,,0,,,  #남성스트레치에어슬랙스팬츠 #우븐팬츠  ,"136,335 ~ 149,000원"
4,스트레이트핏 슬랙스(VV1LP15),VISITINNEWYORK,VV1LP15,, 여 ,,,0,,,,"27,267 ~ 29,800원"
5,Tailored fit cool slacks,SWYNES,s0003,2015F/W, 남 ,,,4,5,후기 1개 보기,  #가을슬랙스 #린넨슬랙스 #슬랙스 #여름슬랙스 #SLACKS  ,"47,580 ~ 52,000원"
6,소프트터치 그레이 슬랙스 (C1503-PT580GR),JBANS CLASSIC,10726073,, 남 ,,,5,,,,"35,685 ~ 39,000원"
7,V204 리넨 밴딩 와이드 슬랙스-(블랙),VOIEBIT,V204,2017S/S, 남 ,200회 이상,,30,4.5,후기 2개 보기,  #리넨슬랙스 #밴딩슬랙스 #슬랙스 #와이드 #와이드슬랙스  ,"55,300원"
8,MINIMAL PANTS BLACK,THE ROYAL 'WE,MRSL70802BK,, 남 ,,,7,,,  #더로얄위 #바지 #셋업 #슈트  ,"36,508 ~ 39,900원"
9,Essential밴딩 슬랙스 (2colors)_RMTWA38RM1,ROEM,363960,2020F/W, 여 ,,,43,5,후기 2개 보기,,"17,385 ~ 19,000원"
