,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,깁슨 -Sequoia,KAVU,P0000EAQ,2022S/S, 여 ,,,1,,,  #면바지 #치노팬츠 #코튼팬츠 #밴딩팬츠 #캐주얼팬츠  ,"107,970 ~ 118,000원"
1,허밍 코튼 레이스 팬츠,HO'ME,2021FW-BOTTOM-009,2021F/W, 여 ,,,1,,,  #꾸안꾸 #면팬츠 #바지 #캐주얼팬츠 #면바지 #밴딩팬츠 #치노팬츠  ,"112,545 ~ 123,000원"
2,피치 스킨 코튼 1/2 밴딩 베이직 팬츠,HO'ME,2021FW-BOTTOM-012,2021F/W, 여 ,,,2,,,  #꾸안꾸 #면팬츠 #바지 #캐주얼팬츠 #면바지 #밴딩팬츠 #치노팬츠  ,"109,800 ~ 120,000원"
3,LMC SAKAMOTO DENIM REGULAR JEAN light blue,LMC,0LM22SDP107LBL,2022S/S, 남 ,800회 이상,,52,4.7,후기 3개 보기,  #LMC바지 #LMC팬츠 #LMC데님팬츠 #LMC카펜더 #엘엠씨데님카펜더팬츠 #데님팬츠  ,"180,495 ~ 189,000원"
4,J니트5부팬츠 JWPT226C,JUCYJUDY,JWPT226C,2022S/S, 여 ,,,0,,,  #밴딩팬츠 #바지 #22SPRING #캐주얼팬츠 #반바지 #숏팬츠 #반바지추천  ,"45,292 ~ 49,500원"
5,(22225 1Y86 F0002) 여성 레깅스 22SS,PRADA,22225 1Y86 F0002-B21,병행수입, 여 ,,,1,,,,"1,300,000원"
6,one tuck volume pants black,LORD JOHN GREY,L22APT144BK,2022S/S, 남 ,,,36,5,후기 8개 보기,,"165,000원"
7,단델리온 코튼 피치 큐롯 팬츠 YELLOW NACS1-WPL400_170,COMGEN,NACS1-WPL400_170,2022S/S, 남 ,,,0,,,,"163,785 ~ 179,000원"
8,UPGROWTH PANTS - RED,APARTMENT,UPGROWTH PANTS - RED,2020F/W, 남 ,,,5,5,후기 2개 보기,,"20,953 ~ 22,900원"
9,CORDUROY STRAIGHT PANTS,DEBBY UPPER,DBAIPT01AMU1,2021F/W, 여 ,,,3,,,,"99,735 ~ 109,000원"
10,CORDUROY STRAIGHT PANTS,DEBBY UPPER,DBAIPT01ACR1,2021F/W, 여 ,,,7,,,,"99,735 ~ 109,000원"
11,CORDUROY STRAIGHT PANTS,DEBBY UPPER,DBAIPT01ABG1,2021F/W, 여 ,,,3,5,후기 2개 보기,,"99,735 ~ 109,000원"
12,Retro Corduroy Pants (Black),JUNECI,JN032,2022S/S, 여 ,,,1,,,  #코듀로이바지 #겨울바지 #골덴바지 #코듀로이 #코듀로이팬츠  ,"132,675 ~ 145,000원"
13,투턱 와이드 테이퍼드팬츠(네이비),TAKEASY,T22PT007,2022S/S, 남 ,,,22,5,후기 6개 보기,  #테이퍼드핏 #와이드핏 #와이드팬츠 #남자바지 #면바지 #팬츠 #바지  ,"43,188 ~ 47,200원"
14,러블리 팬츠 (챠콜),IFG5,PT210908017,2022S/S, 여 ,,,6,5,후기 1개 보기,  #바지 #면바지 #밴딩팬츠 #캐주얼팬츠 #면팬츠 #코튼팬츠 #팬츠  ,"29,737 ~ 32,500원"
15,spring casual baggy pants_CWPAS22143BEX,CUSTOMELLOW,CWPAS22143BEX,2022S/S, 남 ,,,2,,,,"182,085 ~ 199,000원"
16,라인 크롭 팬츠 (블랙),KOYU,2001,2021S/S, 여 ,,,0,,,  #검정팬츠 #여자팬츠 #라인팬츠 #크롭팬츠 #슬림팬츠 #코튼팬츠 #9부팬츠  ,"76,860 ~ 84,000원"
17,와이드 체크 밴딩 팬츠 블랙,SK8ER ROCK,00096-BK,2021F/W, 남 ,,,8,,,  #체크팬츠 #체크밴딩팬츠 #체크바지 #루즈핏팬츠 #와이드팬츠 #트랙팬츠 #와이드체크팬츠  ,"44,835 ~ 49,000원"
18,플리츠 턴업 팬츠 (차콜),KOYU,2002,2021F/W, 여 ,,,6,,,  #턴업팬츠 #여자팬츠 #여성 #여성복 #여자와이드팬츠 #여성팬츠 #여성와이드팬츠  ,"57,004 ~ 62,300원"
19,와이드 앵클드롭 퍼티그팬츠 WAF-319 차콜,SAINTCREW,WAF-319,2022S/S, 여 ,,,9,4.8,후기 8개 보기,  #남성팬츠 #와이드팬츠 #바지 #면바지 #팬츠 #밴딩팬츠 #22S/S컬렉션  ,"52,612 ~ 57,500원"
20,와이드 앵클드롭 퍼티그팬츠 WAF-319 카멜,SAINTCREW,WAF-319,2022S/S, 여 ,,,20,4.8,후기 8개 보기,  #코튼팬츠 #여자바지 #밴딩팬츠 #면바지 #와이드팬츠 #팬츠 #22S/S컬렉션  ,"52,612 ~ 57,500원"
21,나이스백 스트레이트 퍼티그팬츠 NSB-320 크림,SAINTCREW,NSB-320,2022S/S, 여 ,,,8,,,  #바지 #팬츠 #스트레이트 #여자바지 #면바지 #여자팬츠 #22S/S컬렉션  ,"53,527 ~ 58,500원"
22,코다커리 스트레이트핏 우븐 카고 팬츠 IVORY,KODAK,K2123LPT11IVR,2022S/S, 남 ,,,9,5,후기 1개 보기,  #코닥어패럴 #밴딩팬츠 #코튼팬츠 #여자바지 #남자바지 #스트레이트 #카고팬츠 #KODAKERY  ,"136,335 ~ 149,000원"
23,[SLIM] 카키 슬럽 트윌 팬츠 (BC2121C11H),BEANPOLE MEN,BC2121C11H,2022S/S, 남 ,,,0,,,  #BC2121C11H  ,"182,085 ~ 199,000원"
24,워크 아웃포켓 팬츠_khaki,TLEYOUNG,21FW-TS010,2022S/S, 남 ,,,44,5,후기 4개 보기,,"62,586 ~ 68,400원"
25,LINEN STRING PANTS (BEIGE),UTTER OFFICIAL,P00000CX,2021S/S, 여 ,,,14,,,  #린넨 #면바지 #린넨팬츠 #캐주얼팬츠 #밴딩 #와이드팬츠 #여름바지  ,"136,335 ~ 149,000원"
26,IN#0097 브리즈 네츄럴 블랙 워싱 밴딩 와이드,INROWS,IN#0097,2021S/S, 남 ,,,21,5,후기 16개 보기,  #와이드팬츠 #여름바지 #밴딩팬츠 #와이드 #블랙 #와이드밴딩팬츠 #데일리  ,"36,371 ~ 39,750원"
27,TAPERED TROUSER BLACK,VENECY,129808,2021S/S, 남 ,,,72,,,  #바지 #남성 #디자이너브랜드 #코튼팬츠 #여름 #블랙 #팬츠  ,"127,185 ~ 139,000원"
28,UNIFORM 워커 팬츠,EDIBLET,EDSPAMYTB01,2021S/S, 남 ,,,4,,,  #바지 #남자바지 #팬츠 #면바지  ,"84,180 ~ 92,000원"
29,Small Polar Bear Logo Long Pants Khaki,NAMES,21SSNAMES25,2021S/S, 남 ,,,3,,,  #코튼팬츠 #캐주얼팬츠 #밴딩팬츠 #면바지 #와이드팬츠 #팬츠 #와이드  ,"72,285 ~ 79,000원"
