,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,Native patterned pants_4MKNDF00D70W,Benetton,4MKNDF00D70W,2021S/S, 여 ,,,2,,,,"90,585 ~ 99,000원"
1,사이드 턱 팬츠_카키,INVISIBLE,IGS20160,2022S/S, 남 ,,,5,,,,"77,775 ~ 85,000원"
2,RESORT WIDE CHINO PANTS (DARK BROWN),SHIRTER,0122PT03DB,2022S/S, 남 ,,,12,,,  #카고팬츠 #와이드핏 #치노팬츠 #와이드팬츠 #남자바지 #팬츠 #면팬츠  ,"168,000원"
3,블랙 재킷 셋업 투턱 와이드 팬츠 (322221LY15),8SECONDS,322221LY15,2022S/S, 여 ,,,7,,,,"38,304 ~ 39,900원"
4,메모리 서클 팬츠_화이트그린,LOIC,22pe-pt021,2022S/S, 남 ,,,9,,,  #남자바지 #면팬츠 #면바지 #와이드핏 #캐주얼팬츠 #코튼팬츠 #와이드팬츠  ,"144,570 ~ 158,000원"
5,사이드 컨트롤 보이핏 투턱 팬츠 (베이지),VETEZE,SCBFTTP1,2022S/S, 남 ,,,32,,,  #바지 #면바지 #면팬츠 #팬츠  ,"44,835 ~ 49,000원"
6,캔버스포켓바지,STYLEBYMIIN,OBBSPBT03002,2022S/S, 여 ,,,0,,,  #면바지 #팬츠 #캐주얼팬츠 #코튼팬츠 #밴딩팬츠 #카고팬츠 #면팬츠  ,"154,635 ~ 169,000원"
7,스탠다드 코튼 팬츠_2color,LIMELIKE,12383532,2022S/S, 여 ,,,4,,,,"62,220 ~ 68,000원"
8,와펜 밴딩 761531303 V0020 남성 카고 팬츠,STONE ISLAND,761531303 V0020,병행수입, 남 ,,,1,,,  #스톤아일랜드바지 #남자카고  ,"506,900원"
9,BALLOON PANTS / GRAY,MAIS,202215,2022S/S, 여 ,,,2,,,  #바지 #코튼팬츠 #캐주얼팬츠 #와이드핏 #면팬츠 #출근룩  ,"108,885 ~ 119,000원"
10,Cotton Cigarette Pants_Black,ACUD,ACH10-1101-039,2022S/S, 여 ,,,3,4,후기 1개 보기,  #코튼팬츠 #면팬츠 #면바지 #캐주얼팬츠 #팬츠 #블랙진 #여자바지  ,"111,264 ~ 121,600원"
11,TWOWAY PANTS (BLACK),UTTER OFFICIAL,P00000EW,2022S/S, 여 ,,,0,,,,"136,335 ~ 149,000원"
12,Sandra pin tuck pants,PLAMM,m1037_837817,2022S/S, 여 ,,,0,,,,"114,375 ~ 125,000원"
13,Wayne Semi-wide Roll-up Pants_Beige,HIDDEN FOREST MARKET,936736,2022S/S, 여 ,,,3,,,,"138,211 ~ 151,050원"
14,와이드핏 스티치포인트 팬츠(다크카키),VOLCOM,VA221WP001DK,2022S/S, 남 ,,,6,,,,"69,814 ~ 76,300원"
15,트위드 플레어 팬츠 핑크,MIDNIGHT CIRCUS,mnc22sp04,2022S/S, 여 ,,,17,,,  #트위드 #트위드팬츠 #플레어팬츠 #미드라이즈 #핑크팬츠  ,"144,570 ~ 158,000원"
16,카치온 반밴딩 코튼 팬츠 베이지,NINEWEEKS,NWSCT146,2022S/S, 남 ,,,14,5,후기 1개 보기,  #면바지 #남자면바지 #코튼팬츠 #치노팬츠 #테이퍼드핏면바지 #테이퍼드핏바지 #밴딩팬츠  ,"52,155 ~ 57,000원"
17,(22SS) DI32210019[1500039] 앨리스터 트윌 치노GREEN,GANT,DI32210019A,2022S/S, 남 ,,,0,,,,"126,270 ~ 138,000원"
18,(22SS) DI32210018[1500038] 홀덴 트윌 치노GREEN,GANT,DI32210018A,2022S/S, 남 ,,,2,,,,"126,270 ~ 138,000원"
19,Deli Chef Pants Checkerboard Black,PAIRS DELI&GROCERY,PAPTCA001BK,2022S/S, 남 ,,,19,1,후기 3개 보기,  #팬츠 #와이드팬츠 #캐주얼팬츠 #체크팬츠  ,"64,416 ~ 70,400원"
20,유니섹스 캠프닉 워크 팬츠 블랙 (BI1UHPT22BLK),BARREL,1720890,2022S/S, 남 ,,,0,,,  #라이프스타일  ,"108,885 ~ 119,000원"
21,원턱 와이드 카고팬츠-벌룬팬츠 [블랙],CONTROBANAL3,3H20FM-PA51BK,2022S/S, 남 ,,,15,5,후기 5개 보기,  #와이드팬츠 #면바지 #카고팬츠 #밴딩팬츠 #와이드핏 #시티보이 #치노팬츠  ,"57,004 ~ 62,300원"
22,그레이 나일론 배색 밴딩 팬츠_스트레이트핏 (162321KC13),8SECONDS,162321KC13,2022S/S, 여 ,,,9,,,  #162321KC13  ,"28,704 ~ 29,900원"
23,22SS 올나티 ORNATI 판탈로네 팬츠 블랙 97810221 003,MAXMARA,2729130,병행수입, 여 ,,,0,,,,"240,450원"
24,베이지 코튼 부츠컷 팬츠,LBYL,L221P03BG,2022S/S, 여 ,,,1,,,  #면바지 #부츠컷 #꾸안꾸 #캐주얼팬츠 #면팬츠 #코튼팬츠 #부츠컷팬츠  ,"117,120 ~ 128,000원"
25,[SLIM TAPERED] 블랙 울 블렌드 슬랙스 (BC2121A175),BEANPOLE MEN,BC2121A175,2022S/S, 남 ,,,0,,,  #BC2121A175  ,"182,085 ~ 199,000원"
26,맨 와이드 치노 팬츠 [차콜],KIRSH,FKQSCPA140M,2022S/S, 남 ,,,36,,,  #바지 #팬츠 #와이드 #나일론팬츠 #밴딩팬츠 #와이드팬츠  ,"68,352 ~ 71,200원"
