,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,유니섹스 세미 와이드 밴딩 슬랙스,WHOLOVESART,1804050,2020ALL, 남 여 ,54.9만 회 이상,24만 개 이상,"182,336",4.8,"후기 75,503개 보기",  #밴딩 #세미와이드 #슬랙스 #와이드 #와이드팬츠  ,"29,493 ~ 33,900원"
1,린넨 라이크 세미 와이드 밴딩 팬츠 세트,SUARE,1054719,2022S/S, 남 ,85.8만 회 이상,5.1만 개 이상,"56,797",4.8,"후기 6,705개 보기",  #린넨 #린넨바지 #린넨팬츠 #밴딩팬츠 #린넨밴딩 #와이드 #와이드팬츠  ,"49,900원"
2,원턱 와이드 스웨트팬츠 그레이,GAKKAI UNIONS,GU01BGR,2022S/S, 남 ,25.8만 회 이상,5.2만 개 이상,"53,741",4.9,"후기 12,636개 보기",  #루즈핏 #와이드팬츠 #와이드 #테이퍼드 #이지웨어 #트레이닝 #일자  ,"34,762 ~ 36,400원"
3,[패키지] BASIC HALF PANTS (13COLOR) [LRQMCPH701M],GROOVE RHYME,LRQMCPH701M,ALLS/S, 남 여 ,10.8만 회 이상,4.7만 개 이상,"49,061",4.7,"후기 34,896개 보기",  #남자반바지 #반바지 #밴딩 #베이직하프팬츠 #쇼츠 #쇼트팬츠 #패키지 #숏팬츠  ,"32,025 ~ 35,000원"
4,[Package]테이퍼드 와이드 원턱 린넨 팬츠_9Color,LAFUDGESTORE,m1037_685363,2022S/S, 남 여 ,48만 회 이상,2.2만 개 이상,"28,435",4.8,"후기 35,599개 보기",  #테이퍼드 #테이퍼드팬츠 #와이드팬츠 #밴딩팬츠 #린넨 #린넨팬츠 #와이드  ,"46,455 ~ 48,900원"
5,Deep One Tuck Sweat Shorts [Grey],XERO,2021HS04,2021S/S, 남 ,16.8만 회 이상,1.4만 개 이상,"17,369",4.9,"후기 4,624개 보기",  #숏팬츠 #반바지 #쇼츠 #스웻 #스웨트 #원턱 #버뮤다팬츠  ,"30,560 ~ 32,000원"
6,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],MUSINSA STANDARD,MIPS0001-BK,19.4만회이상, 남 ,19.4만 회 이상,12.8만 개 이상,"89,132",4.8,"후기 136,578개 보기",  #정장바지 #퍼펙트슬랙스 #정장팬츠 #허리밴딩 #셋업 #유아인착장상품 #무탠픽업  ,"31,584 ~ 32,900원"
7,[패키지] 와이드핏 트레이닝 스웨트 팬츠,BRENSON,BR481,ALLALL, 남 ,8.4만 회 이상,7.1만 개 이상,"48,050",4.8,"후기 18,888개 보기",  #트레이닝세트 #바지 #팬츠 #와이드 #트레이닝바지 #스웻팬츠 #기모  ,"39,900원"
8,테이퍼드 와이드 원턱 린넨 팬츠_Oatmeal,LAFUDGESTORE,m1037_685362,2022S/S, 남 ,15.6만 회 이상,4.5만 개 이상,"47,873",4.8,"후기 35,599개 보기",  #테이퍼드 #와이드팬츠 #린넨팬츠 #린넨 #원턱팬츠 #와이드 #밴딩팬츠  ,"28,310 ~ 29,800원"
9,[패키지] 미니멀 트레이닝 essential 반바지 (롱 기장 버전 추가),BRENSON,BR452,ALLS/S, 남 ,8.2만 회 이상,3.3만 개 이상,"24,180",4.8,"후기 7,811개 보기",  #반바지 #반팔티 #밴딩팬츠 #트레이닝반바지 #하프팬츠 #트레이닝세트 #트레이닝  ,"29,900원"
10,[패키지] 루즈핏 트레이닝 스웨트 팬츠,BRENSON,BR415,ALLALL, 남 ,4.2만 회 이상,7만 개 이상,"80,372",4.7,"후기 39,344개 보기",  #밴딩팬츠 #트레이닝 #트레이닝세트 #트레이닝팬츠 #트레이닝바지 #조거팬츠 #기모 #레귤러  ,"37,900원"
11,레귤러 핏 치노 팬츠 [라이트 그레이],MUSINSA STANDARD,MIPT0005-LG,11.3만회이상, 남 ,11.3만 회 이상,7천 개 이상,"3,883",4.7,"후기 11,855개 보기",  #레귤러핏 #면바지 #치노팬츠 #캐주얼팬츠 #면 #슬림 #무탠픽업  ,"31,584 ~ 32,900원"
12,SL01 시밀러 린넨 데님 와이드 팬츠 (RAW INDIGO),TOFFEE,T1S-LDWPT01,2022S/S, 남 ,42.4만 회 이상,4만 개 이상,"47,148",4.8,"후기 14,646개 보기",  #와이드팬츠 #와이드데님 #와이드청바지 #데님팬츠 #와이드 #세미와이드 #토피바지  ,"39,000원"
13,[패키지] 코스모 밴딩 숏팬츠 2PACK JMSP2332,JEMUT,2114543,2021S/S, 남 ,7.6만 회 이상,3.1만 개 이상,"22,568",4.8,"후기 8,542개 보기",  #숏팬츠 #반바지 #팬츠 #남자반바지 #여름바지 #바지 #트레이닝반바지  ,"27,267 ~ 29,800원"
14,Wide String Cargo Slacks Pants Black,NOT4NERD,PT024BK,2021F/W, 남 ,9.9만 회 이상,3.6만 개 이상,"48,717",4.8,"후기 13,399개 보기",  #조거팬츠 #와이드팬츠 #트레이닝팬츠 #밴딩팬츠 #카고팬츠 #와이드슬랙스 #카고조거팬츠  ,"35,685 ~ 39,000원"
15,테이퍼드 와이드 원턱 린넨 팬츠_Black,LAFUDGESTORE,m1037_685361,2022S/S, 남 ,7.1만 회 이상,2.5만 개 이상,"20,646",4.8,"후기 35,599개 보기",  #테이퍼드 #와이드팬츠 #린넨팬츠 #린넨 #원턱팬츠 #밴딩팬츠 #와이드  ,"28,310 ~ 29,800원"
16,[SET][기본핏+레귤러핏 선택] 소프트 코튼 에센셜 쇼츠,CODEGRAPHY,CBBU3PS070CBBU3PS080,2022S/S, 남 여 ,12.9만 회 이상,8천 개 이상,"8,988",4.8,"후기 1,488개 보기",  #코드그라피21SUMMER #숏팬츠 #쇼트팬츠 #여름바지 #반바지추천  ,"32,848 ~ 35,900원"
17,Classic Sweat Pants [Grey],XERO,xero540,3.6만회이상, 남 ,3.6만 회 이상,4.9만 개 이상,"71,989",4.8,"후기 66,111개 보기",  #스웻 #조거 #트레이닝 #팬츠 #조거팬츠 #이지웨어 #스웻컬렉션  ,"37,245 ~ 39,000원"
18,세미 와이드 히든 밴딩 슬랙스 [블랙],MUSINSA STANDARD,MIPS0003-BK,14만회이상, 남 ,14만 회 이상,8만 개 이상,"68,522",4.8,"후기 122,212개 보기",  #루즈핏 #셋업팬츠 #와이드핏 #정장바지 #퍼펙트슬랙스 #와이드 #유아인착장상품 #무탠픽업  ,"31,584 ~ 32,900원"
19,SS미니멀 스탠다드 카고조거 슬랙스,SEVENSELAH,WSJMSBK,4.1만회이상, 남 ,4.1만 회 이상,2.7만 개 이상,"59,816",4.8,"후기 39,807개 보기",  #슬랙스 #조거카고 #조거팬츠 #카고조거 #카고조거팬츠 #트랙팬츠  ,"38,731 ~ 45,300원"
20,유틸리티 쇼츠 [블랙],MUSINSA STANDARD,MHPT3005-BK,4만회이상, 남 ,4만 회 이상,8.6천 개 이상,"15,755",4.8,"후기 46,509개 보기",  #반바지 #벨티드팬츠 #아웃도어 #올데이쇼츠 #하프팬츠 #쇼츠컬렉션  ,"22,944 ~ 23,900원"
21,P[1003]롱 와이드 코튼팬츠(베이지),PUBLIC ICON,P1003,2021ALL, 남 ,3.3만 회 이상,2.5만 개 이상,"50,516",4.7,"후기 23,158개 보기",  #데님팬츠 #와이드면팬츠 #와이드코튼팬츠 #와이드팬츠 #와이드 #베이지  ,"26,535 ~ 29,000원"
22,Deep One Tuck Sweat Pants [Grey],XERO,2020F11,2021F/W, 남 ,17.4만 회 이상,14.4만 개 이상,"128,106",4.9,"후기 66,675개 보기",  #스웻 #와이드 #트레이닝 #팬츠 #원턱 #스웻팬츠  ,"32,097 ~ 35,100원"
23,사계절 스트링 트레이닝팬츠 (그레이),ANOLORCODE,FSST003,2020F/W, 남 여 ,7.9만 회 이상,2.4만 개 이상,"40,206",4.8,"후기 13,331개 보기",  #스트링 #트레이닝바지 #트레이닝 #트레이닝팬츠 #스트링팬츠 #밴딩팬츠 #셋업  ,"43,920 ~ 48,000원"
24,스우시 반바지 블랙,NIKE,"BV6855-010,725887-010",병행수입, 남 ,5.1만 회 이상,2.6만 개 이상,"52,676",4.7,"후기 17,354개 보기",  #반바지 #쇼트팬츠 #트레이닝 #트레이닝복 #바지 #트레이닝바지 #트레이닝팬츠 #스포츠브랜드위크  ,"29,900원"
25,테이퍼드 와이드 원턱 린넨 팬츠_Martine Olive,LAFUDGESTORE,m1037_685404,2022S/S, 남 ,6.9만 회 이상,2.7만 개 이상,"24,654",4.8,"후기 35,599개 보기",  #테이퍼드 #와이드팬츠 #린넨팬츠 #린넨 #원턱팬츠 #와이드 #밴딩팬츠  ,"28,310 ~ 29,800원"
26,와이드 데님 팬츠 (LIGHT BLUE),TOFFEE,TAS-WDDP02,2021ALL, 남 ,17.4만 회 이상,7.9만 개 이상,"114,244",4.8,"후기 124,904개 보기",  #데님팬츠 #와이드 #와이드데님 #와이드청바지 #와이드팬츠 #청바지  ,"33,900원"
27,원턱 와이드 스웨트팬츠 블랙,GAKKAI UNIONS,GU01BBK,2022S/S, 남 ,5.9만 회 이상,1.3만 개 이상,"12,720",4.9,"후기 12,636개 보기",  #와이드 #와이드팬츠 #일자 #테이퍼드 #루즈핏 #트레이닝 #이지웨어  ,"34,762 ~ 36,400원"
28,스웨트 쇼츠 [멜란지 그레이],MUSINSA STANDARD,MIPT0002-MG,3.3만회이상, 남 ,3.3만 회 이상,7.5천 개 이상,"6,839",4.7,"후기 10,217개 보기",  #반바지 #아웃도어 #올데이쇼츠 #하프팬츠 #스웨트팬츠 #쇼츠컬렉션 #스웨트컬렉션  ,"19,104 ~ 19,900원"
29,린넨 라이크 루즈 테이퍼드 밴딩 팬츠 세트,SUARE,1054718,2022S/S, 남 ,5.8만 회 이상,3.6천 개 이상,"3,778",4.7,후기 693개 보기,  #린넨 #린넨바지 #린넨밴딩 #밴딩팬츠 #여름바지 #테이퍼드 #밴딩  ,"49,900원"
30,[패키지] 루즈핏 조거 트레이닝 스웨트 팬츠,BRENSON,BR417,ALLALL, 남 ,2.1만 회 이상,4.4만 개 이상,"43,983",4.7,"후기 22,191개 보기",  #조거팬츠 #트레이닝 #세트 #밴딩팬츠 #트레이닝팬츠 #트레이닝바지 #기모 #조거  ,"39,900원"
31,나일론 이지 쇼츠_7.5인치 [블랙],MUSINSA STANDARD,MMJPH302-BK,3만회이상, 남 ,3만 회 이상,8.8천 개 이상,"9,483",4.8,"후기 16,305개 보기",  #여름바지 #이지팬츠 #바지 #팬츠 #반바지 #이지웨어 #올데이쇼츠 #쇼츠컬렉션  ,"20,064 ~ 20,900원"
32,[세트상품] 린넨 9부 밴딩 팬츠,ACOVER,ACP012,3.3만회이상, 남 여 ,3.3만 회 이상,1.3만 개 이상,"21,697",4.6,"후기 12,259개 보기",  #리넨 #린넨 #팬츠 #린넨팬츠 #린넨바지 #밴딩팬츠 #패키지  ,"37,800원"
33,시티보이 빅포켓 와이드 밴딩 카고팬츠 진베이지,GLW,21FLGP07DB,2021F/W, 남 ,6.2만 회 이상,5.4천 개 이상,"11,624",4.8,"후기 2,835개 보기",  #카고팬츠 #코튼팬츠 #치노팬츠 #시티보이룩 #와이드팬츠 #와이드핏 #힙합  ,"40,424 ~ 49,600원"
34,와이드 히든 밴딩 슬랙스 [블랙],MUSINSA STANDARD,MIPS0004-BK,12.1만회이상, 남 ,12.1만 회 이상,7.7만 개 이상,"61,231",4.8,"후기 110,437개 보기",  #정장바지 #퍼펙트슬랙스 #트라우저 #셋업 #와이드팬츠 #루즈핏 #와이드핏 #유아인착장상품 #무탠픽업  ,"31,584 ~ 32,900원"
35,와이드 조거 스웻 팬츠 (MELANGE GREY),TOFFEE,T1S-WJSPT03,2022S/S, 남 ,3.9만 회 이상,4.6만 개 이상,"36,735",4.8,"후기 13,640개 보기",  #트레이닝바지 #스웨트팬츠 #조거팬츠 #트레이닝팬츠 #트레이닝세트 #스웻팬츠 #조거  ,"33,855 ~ 37,000원"
36,Deep One Tuck Sweat Shorts [Black],XERO,2021HS03,2021S/S, 남 ,3.2만 회 이상,3.4천 개 이상,"3,111",4.9,"후기 4,624개 보기",  #숏팬츠 #쇼츠 #반바지 #스웻 #스웨트 #원턱 #버뮤다팬츠  ,"30,560 ~ 32,000원"
37,와이드 밴딩 치노 팬츠 [BEIGE],DRAW FIT,DFPT1304BE,2022S/S, 남 ,6.2만 회 이상,6.2천 개 이상,"10,968",4.8,"후기 2,300개 보기",  #치노팬츠 #면팬츠 #카고팬츠 #와이드팬츠 #면바지 #남자와이드팬츠 #린넨바지  ,"59,400원"
38,[SET][기본핏+레귤러핏 선택] 크리스피 나일론 쇼츠 -13컬러,CODEGRAPHY,CBBU3PS030CBBU3PS040,2022S/S, 남 여 ,26.5만 회 이상,3.2만 개 이상,"36,783",4.7,"후기 10,545개 보기",  #남자반바지 #반바지 #밴딩반바지 #쇼츠 #트레이닝 #바지 #숏팬츠  ,"32,848 ~ 35,900원"
