,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,헤일리 슬림 슬럽 앵클 팬츠 (T22C0WPC030WT101X),TOMMY HILFIGER WOMAN,T22C0WPC030WT101X,2021F/W, 여 ,,,1,,,  #헤일리슬림슬럽앵클팬츠  ,"139,425 ~ 195,000원"
1,배색 포켓 스웻 조거 팬츠[멜란지 화이트],"DEAR,ME",DMC3PT1WT,2020F/W, 여 ,100회 이상,,99,4.9,후기 47개 보기,  #밴딩팬츠 #조거 #트레이닝 #스웨트팬츠 #카고조거 #조거팬츠 #스웻팬츠  ,"39,528 ~ 43,200원"
2,W 조거 4112 입체카고 슬림핏 오렌지 조거팬츠,MAGOODGAN,MJG4112_16_21A,2021S/S, 여 ,100회 이상,,81,4.7,후기 84개 보기,  #밴딩팬츠 #스웨트팬츠 #조거팬츠 #스웻팬츠 #조거 #셋업 #카고팬츠  ,"61,056 ~ 63,600원"
3,조거 스웨트 팬츠 - 그레이,TRIPSHION,TRIP21SPGRY001,2021S/S, 남 ,,50개 미만,48,5,후기 1개 보기,  #트레이닝복 #츄리닝 #트레이닝바지 #밴딩팬츠 #조거 #조거팬츠 #스웻팬츠 #무지스웨트 #무지  ,"44,835 ~ 49,000원"
4,[DRY COOL] 차콜그레이 밴딩 카고 조거 팬츠 IEPA2E202CG,IL CORSO,IEPA2E202CG,2022S/S, 남 ,,,17,5,후기 26개 보기,  #이지팬츠 #조거팬츠  ,"61,305 ~ 67,000원"
5,여성 7부 라이트 밴딩팬츠-ABRG2712D03,CHASECULT,ABRG2712D03,2021S/S, 여 ,,,11,,,,"28,704 ~ 29,900원"
6,남성 백메쉬 웜업팬츠-BBZK7204C03,CHASECULT,BBZK7204C03,2022S/S, 남 ,,,11,,,,"28,704 ~ 29,900원"
7,초경량 데일리 남성 쿨팬츠 (D/KHAKI),DISCOVERY EXPEDITION,DMPT71023-KAD,2022S/S, 남 ,,,2,,,  #디스커버리 #팬츠 #바지 #팬츠추천 #쿨팬츠  ,"108,885 ~ 119,000원"
8,W 조거 4116 린넨 카고 세미벌룬핏 라이트인디고 조거팬츠,MAGOODGAN,MJG_4116_30_22A,, 여 ,,,31,4.7,후기 3개 보기,  #트레이닝바지 #트레이닝복 #트레이닝 #팬츠 #스웨트팬츠 #조거 #스웻팬츠  ,"53,070 ~ 58,000원"
9,X BALANSA GORE-TEX FLEECE PANTS KHAKI,MILLET CLASSIC,ZCPFP903,2020F/W, 남 ,1천 회 이상,,132,5,후기 31개 보기,  #팬츠 #조거팬츠 #후리스 #트레이닝팬츠 #플리스팬츠 #플리스 #밀레클래식X발란사 #밀레클래식×발란사  ,"89,029 ~ 97,300원"
10,20FW 스탠다드 스웨트 팬츠 - 레드,INSTANTFUNK,BZFWIFPT03RD,2020F/W, 남 여 ,600회 이상,,189,4.7,후기 235개 보기,  #스웨트팬츠 #조거팬츠 #트레이닝셋업 #트레이닝팬츠  ,"74,880 ~ 78,000원"
11,AMG 오버 스웻조거(카키),TAKEASY,T20PT016,2020F/W, 남 ,800회 이상,50개 미만,57,4.8,후기 271개 보기,  #와이드 #조거팬츠 #트랙팬츠 #스웻팬츠 #트레이닝팬츠 #밴딩팬츠 #와이드팬츠  ,"30,417 ~ 31,850원"
12,CRT SPORTS 스웻 팬츠 Black,CRITIC,CTOEAPT02UC6,2017F/W, 남 ,,,27,4.7,후기 31개 보기,  #무신사단독 #스웻팬츠 #트레이닝팬츠 #171027  ,"34,500원"
13,F 사이드 조거팬츠 베이지 JHLP1150,FP142,1730321,2019S/S, 남 ,,,12,4.7,후기 9개 보기,  #밴딩팬츠 #조거팬츠 #코튼팬츠 #팬츠 #페플무지  ,"21,868 ~ 23,900원"
