,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
14,화이트라벨 헤비 스웨트 조거팬츠 네이비,BEN DAVIS,9780062,2019F/W, 남 ,1.3천 회 이상,50개 미만,90,4.4,후기 84개 보기,,"72,285 ~ 79,000원"
15,저지 클럽 조거팬츠 그레이,NIKE,BV2762-063,병행수입, 남 ,200회 이상,50개 미만,202,4.3,후기 40개 보기,,"56,500원"
16,팀 클럽 스우시 반바지 AQ3136-063,NIKE,AQ3136-063,병행수입, 남 ,1.7천 회 이상,50개 이상,"1,650",4.5,후기 169개 보기,  #스포츠브랜드위크  ,"40,100원"
17,7부조거팬츠 HGF60236_HTGR,KONUS,HGF60236_HTGR,200회이상, 남 ,200회 이상,,59,4.4,후기 18개 보기,  #조거팬츠 #칠부바지 #7부바지 #7부조거팬츠  ,"27,450 ~ 30,000원"
18,투턱조거 슬랙스 그레이 LMLP6570,EZKATON,1909176,2020S/S, 남 ,200회 이상,50개 미만,54,4.4,후기 40개 보기,  #밴딩슬랙스 #밴딩팬츠 #슬랙스 #조거슬랙스 #조거팬츠  ,"31,018 ~ 33,900원"
19,LINEN-COTTON LOOSE-FIT JOGGER PANTS (Charcoal),A NOTHING,20SUM-04-CH,2020S/S, 남 ,200회 이상,,47,4.8,후기 74개 보기,  #린넨 #바지 #조거 #조거팬츠 #트레이닝바지  ,"59,978 ~ 65,550원"
20,로고 조거 팬츠 아보카도,GAC,22SSPT01AV,2022S/S, 남 ,,,60,4.9,후기 27개 보기,  #트레이닝바지 #스웨트팬츠 #조거팬츠 #밴딩팬츠 #조거 #스웻팬츠 #22S/S신상품 #22S/S컬렉션  ,"56,821 ~ 62,100원"
21,베이직폰트홀로 일자 트레이닝바지,CROSSDOT,802829216,2022S/S, 남 ,,,0,,,  #팬츠 #트레이닝팬츠 #트레이닝바지 #바지 #로고 #일자바지 #긴바지  ,"29,280 ~ 32,000원"
22,윈썸 나일론 조거팬츠_블랙,AFRESH,P00000JL,2022S/S, 남 여 ,,,15,4.7,후기 3개 보기,  #조거바지 #조거트레이닝 #세트상품 #셋업팬츠 #밴딩바지 #조거 #트레이닝팬츠  ,"38,000원"
23,메탈 윈드 핀턱 밴딩 팬츠 그린,ACOVER,ACP22412,2022S/S, 여 ,,,34,5,후기 6개 보기,  #셋업 #세트 #트레이닝팬츠 #트레이닝 #트레이닝바지 #아노락 #자켓  ,"29,800원"
24,베이직닷 일자 트레이닝바지,CROSSDOT,802835089,2022S/S, 남 ,,,0,,,  #팬츠 #트레이닝팬츠 #트레이닝바지 #바지 #로고 #일자바지 #긴바지  ,"29,280 ~ 32,000원"
25,밴딩 조거 팬츠 (VIPPT401) 네이비,VANNWORKS,VIPPT401,2018F/W, 남 ,1.1천 회 이상,50개 이상,407,4.6,후기 208개 보기,  #트레이닝팬츠 #조거팬츠 #트레이닝 #바지 #조거 #밴딩팬츠 #트레이닝바지  ,"19,600원"
26,L1 벤츄리 지퍼카고 조거팬츠_LIGHTGREY,LIFEWORK,LW222KL625_LIGHTGREY,2022S/S, 남 ,,,10,4.5,후기 4개 보기,  #트레이닝바지 #트레이닝팬츠 #트레이닝 #조거팬츠 #밴딩팬츠 #트레이닝복 #와이드팬츠  ,"81,435 ~ 89,000원"
27,여성) 벤츄리 사이드 레터링 팬츠_BLACK,LIFEWORK,LW222SB690_BLACK,2022S/S, 여 ,200회 이상,,14,5,후기 3개 보기,  #트레이닝복 #밴딩팬츠 #조거팬츠 #트레이닝셋업 #트레이닝팬츠 #트레이닝세트 #스웻팬츠  ,"72,285 ~ 79,000원"
28,[패키지] 밀크믹스 플리스 팬츠 4종 2PACK JELP3345,TWN,2082049,2021S/S, 남 ,300회 이상,50개 미만,66,4.7,후기 21개 보기,  #바지 #팬츠 #밴딩팬츠 #조거 #조거팬츠 #플리스 #후리스  ,"36,384 ~ 37,900원"
29,사이드라인 오버핏 스웨트 조거팬츠 트레이닝 [Black],BOUNDARY,BD21SOJ_B,2021S/S, 남 ,300회 이상,50개 미만,72,4.7,후기 15개 보기,  #조거팬츠 #스웻팬츠 #사이드라인 #트랙조거팬츠 #배색조거팬츠 #배색 #오버핏조거팬츠  ,"42,913 ~ 46,900원"
30,퍼티그 조거 데님팬츠 GREY (ML6DU161-072),BUNKERBUSTER,ML6DU161-072,2021S/S, 남 ,,,35,4.2,후기 11개 보기,  #데님팬츠 #청바지 #바지 #데님 #팬츠 #조거팬츠 #밴딩팬츠  ,"27,358 ~ 29,900원"
31,LOGO JOGGER PANTS LIGHT GREY(CY2BSFPA01A),CLOTTY,CY2BSFPA01ALGF,2021S/S, 여 ,500회 이상,50개 미만,326,4.6,후기 9개 보기,  #조거팬츠 #트레이닝바지 #스웨트팬츠 #스웨트조거팬츠 #스웻팬츠 #조거  ,"39,537 ~ 41,400원"
32,오버핏 조거팬츠 후드티 트레이닝세트 [Black],BOUNDARY,BD21OJ_H_SETB,2021S/S, 남 ,1.9천 회 이상,200개 이상,376,4.5,후기 66개 보기,  #오버핏조거팬츠 #오버핏후드 #조거팬츠 #후드티 #트레이닝세트 #스웻세트 #밴딩팬츠  ,"85,003 ~ 92,900원"
33,땀복 바지 웜업 팬츠 챠콜,MUMUSK,M2014,2021ALL, 남 ,200회 이상,50개 미만,29,4.9,후기 7개 보기,  #트레이닝복 #트레이닝세트 #운동복 #헬스복  ,"26,535 ~ 29,000원"
34,[TECH]캐롯핏쿨맥스카고포켓밴딩팬츠 MVPT3141,MINDBRIDGE,MVPT3141,2021S/S, 남 ,400회 이상,50개 미만,36,5,후기 5개 보기,  #팬츠 #밴딩팬츠 #포켓밴딩팬츠 #카고팬츠 #조거팬츠 #F.O.W  ,"44,743 ~ 48,900원"
35,아수라 딥턱 스웻 팬츠_챠콜&블랙,SLOW RECORD HOUSE,Deep Tuck ASURA,2022S/S, 남 ,2천 회 이상,50개 미만,197,5,후기 6개 보기,  #밴딩팬츠 #트레이닝 #트레이닝바지 #트레이닝팬츠 #와이드팬츠 #아수라팬츠  ,"61,762 ~ 67,500원"
36,베이직 와이드핏 트레이닝 팬츠 블랙,DEEP COLLECTIVE,D22SWP01BK,2022S/S, 남 ,,,6,,,  #와이드 #바지 #와이드팬츠 #트레이닝복 #일자바지 #밴딩팬츠  ,"35,685 ~ 39,000원"
37,여성 3부 트레이닝 숏 팬츠 블랙 BMBPT752FBK,BEN SHERMAN,BMBPT752FBK,2022S/S, 여 ,,,21,,,,"53,070 ~ 58,000원"
38,[PWX]Q222-7522-1DB 남성 매직홀 벨트형 팬츠,PROWORLDCUP,1000376,2022S/S, 남 ,,,0,,,,"53,985 ~ 59,000원"
39,디렉터 3840 스웨트 팬츠 오트밀 멜란지 그레이,DEUTERO,P000000X,2022S/S, 남 ,1천 회 이상,,64,5,후기 6개 보기,  #조거팬츠 #스웻팬츠 #트레이닝팬츠 #트레이닝바지 #밴딩팬츠 #팬츠 #바지  ,"90,585 ~ 99,000원"
40,OUT POCKET JOGGER PANTS: 아웃포켓 조거 팬츠_크림,COETERNAL,C22SSPT01CR00,2022S/S, 여 ,,,5,,,  #바지 #스웨트팬츠 #조거바지 #조거팬츠 #트레이닝복 #트레이닝팬츠  ,"57,462 ~ 62,800원"
41,남성 스누피 셋업 조거 팬츠 블랙 FMCPT369MBK,CLRIDEN,FMCPT369MBK,2022S/S, 남 ,,,4,5,후기 2개 보기,  #클라이드앤×스누피  ,"36,417 ~ 39,800원"
42,PHYPS® X 2ceramists OVERDYED SWEAT PANTS BEIGE,PHYSICAL EDUCATION DEPARTMENT,PC1PT2011BE,2022S/S, 남 여 ,500회 이상,,167,4.6,후기 5개 보기,  #와이드팬츠 #스웻팬츠 #트레이닝바지 #트레이닝팬츠 #트레이닝 #밴딩팬츠 #2세라미스츠협업  ,"75,240 ~ 79,200원"
43,클래식 스웨트팬츠-블랙,PAPERBOY,P21FWLP002,2021F/W, 남 ,200회 이상,50개 미만,90,4.9,후기 56개 보기,  #트레이닝세트 #스웨트팬츠 #스웻팬츠 #트레이닝팬츠 #트레이닝바지 #밴딩팬츠 #트레이닝복  ,"31,384 ~ 34,300원"
44,더블 코마 와이드 팬츠 (카키),ESY25,DCWP3,2021F/W, 남 ,200회 이상,50개 미만,86,4.9,후기 19개 보기,  #밴딩팬츠 #트레이닝세트 #와이드팬츠 #팬츠 #트레이닝팬츠  ,"20,160 ~ 21,000원"
45,러스터 와이드 조거 팬츠 블랙 KYLP1324,FP142,2182381,2021F/W, 남 ,400회 이상,50개 이상,121,4.7,후기 26개 보기,  #조거팬츠 #조거 #조거바지 #조거트레이닝  ,"29,463 ~ 32,200원"
46,오리지널 블랙 로고 리브 스웨트 팬츠 그레이,VARZAR,VARZAR_PTS_007,2021F/W, 남 ,,,45,5,후기 4개 보기,  #팬츠 #조거팬츠 #조거 #트레이닝 #트레이닝팬츠 #로고 #스웻팬츠 #로고팬츠  ,"38,276 ~ 44,250원"
47,HERO TRACK WIDE PANTS BROWN,AVANDRESS,21AV72,2021F/W, 남 ,800회 이상,50개 이상,337,4.5,후기 84개 보기,  #트레이닝팬츠 #트랙팬츠 #팬츠 #트레이닝세트 #트레이닝바지 #밴딩팬츠 #셋업 #21F/W컬렉션 #와이드  ,"26,352 ~ 28,800원"
48,베이직 조거팬츠-블랙,PAPERBOY,P20SSLP002,2021F/W, 남 ,,50개 미만,13,4.9,후기 34개 보기,  #트레이닝바지 #트레이닝복 #밴딩팬츠 #트레이닝팬츠 #스웨트팬츠 #조거팬츠  ,"23,520 ~ 24,500원"
49,SHORE WIDE SWEAT PANTS HEATHER,ADDOFF,FDQSCPT511M,2022S/S, 남 ,1.1천 회 이상,50개 미만,178,4.9,후기 16개 보기,  #22S/S컬렉션 #스트릿 #오버핏  ,"81,526 ~ 89,100원"
50,리플렉티브 벨티드 쇼츠 4025 블랙,KANGOL,2250069,2022S/S, 남 ,,,123,5,후기 3개 보기,,"65,280 ~ 68,000원"
51,PK테리 슬래쉬 밴딩 조거 팬츠 - 베이지,FANA CULT,457736,2021F/W, 남 ,,,23,4.7,후기 6개 보기,  #스웨트팬츠 #스웻팬츠 #트레이닝팬츠 #조거바지 #스웻컬렉션 #트레이닝셋업 #트레이닝조거팬츠  ,"41,664 ~ 43,400원"
52,클럽 팀 클래식 조거팬츠 - 멜란지 그레이,FCMM,FC-1001-02,ALLF/W, 남 여 ,1000회 이상,100개 이상,369,4.7,후기 205개 보기,  #트레이닝팬츠 #긴바지 #조거팬츠 #트레이닝바지 #트레이닝 #패밀리세일 #스포츠브랜드위크  ,"28,822 ~ 31,500원"
53,(21FW) 로고 테잎 스웻팬츠 크림,NERDY,PNEF21KD1002,2021F/W, 남 ,700회 이상,50개 미만,103,4.6,후기 21개 보기,,"50,599 ~ 55,300원"
54,루사 부츠컷 트레이닝바지 DFW4003 그레이,DURAN,DFW4003_GY,2021ALL, 여 ,,,9,,,,"29,000원"
55,부스 조거팬츠 블랙 JELP3399,TWN,2170250,2021F/W, 남 ,200회 이상,50개 이상,59,4.6,후기 39개 보기,  #바지 #트레이닝팬츠 #츄리닝바지 #조거팬츠 #스웨트팬츠 #카고팬츠 #트레이닝  ,"29,463 ~ 32,200원"
56,어센틱 루즈핏 기모 조거 팬츠 (멜란지),THEMUJI,TH06832,2021F/W, 남 ,600회 이상,50개 이상,84,4.7,후기 69개 보기,  #트레이닝세트 #와이드팬츠 #조거팬츠 #트레이닝팬츠 #셋업 #팬츠 #트레이닝바지  ,"26,443 ~ 28,900원"
57,R 엠브로이더리 스웻 조거팬츠 (블랙),RAW LAB,R EMVROIDERY JOGGER PANTS_BLACK,2021F/W, 남 ,,,24,4.5,후기 2개 보기,  #스웻팬츠 #트레이닝세트 #조거팬츠 #트레이닝셋업 #스웨트팬츠 #셋업 #스웻셋업  ,"40,351 ~ 44,100원"
58,미러자수 조거팬츠-1%멜란지,WICK,15467,2021F/W, 남 여 ,600회 이상,50개 이상,397,4.9,후기 25개 보기,  #조거바지 #트레이닝바지 #츄리닝바지 #스웨트팬츠 #트레이닝팬츠 #조거팬츠 #스웻팬츠  ,"53,985 ~ 59,000원"
59,[MCT 5069] 베이직 쭈리 와이드 MC 와펜 조거팬츠 (3 color),MILLIONCOR,939641,2022S/S, 여 ,,,203,4,후기 1개 보기,  #조거팬츠 #조거 #조거바지 #조거트레이닝 #트레이닝팬츠 #트레이닝 #트레이닝바지  ,"59,292 ~ 64,800원"
60,Standard Logo Heavy Weight Sweat Pants Forest,ESPIONAGE,20220207-09,2022S/S, 남 ,1.3천 회 이상,50개 미만,105,4.9,후기 260개 보기,  #스웨트팬츠 #스웻팬츠 #트레이닝팬츠 #트레이닝바지 #셋업 #조거팬츠 #밴딩팬츠  ,"94,000원"
61,에코테리 스트레이트핏 팬츠,DESCENTE,SN123UKP12,2021F/W, 남 ,,,18,,,  #러닝 #팬츠  ,"99,735 ~ 109,000원"
62,스몰 스토리로고 조거팬츠 블랙,FALLETT,FA2100PT01BK,2021F/W, 남 ,400회 이상,50개 이상,258,4.9,후기 40개 보기,  #팬츠 #조거팬츠 #트레이닝팬츠 #스웻팬츠 #트레이닝 #로고 #스토리로고  ,"37,789 ~ 41,300원"
63,랩 카고 팬츠 그레이,TRMARK,LAP CARGO PANTS GRAY,2021S/S, 남 ,,,20,5,후기 3개 보기,  #밴딩팬츠 #스웻팬츠 #조거 #트레이닝 #츄리닝 #조거팬츠 #카고팬츠  ,"29,600원"
64,익스프레션 조거 블랙,STYMEST,익스프레션 조거 블랙,2021S/S, 남 ,,,6,4,후기 3개 보기,  #10부 #트레이닝팬츠 #츄리닝 #조거 #조거팬츠 #트레이닝복 #스웨트팬츠  ,"57,300 ~ 60,000원"
65,503 TRACK PANTS_BLACK,V2,4941100,2021F/W, 남 ,400회 이상,50개 이상,164,4.7,후기 53개 보기,,"34,560 ~ 36,000원"
66,유니온 트레이닝 팬츠 블루그레이 KMLP6614,EZKATON,2168793,2021F/W, 남 ,,,61,5,후기 51개 보기,  #조거팬츠 #팬츠 #스웨트팬츠 #와이드팬츠 #트레이닝팬츠 #트레이닝복 #밴딩팬츠  ,"32,940 ~ 36,000원"
67,503-1 TRACK PADDING PANTS_GREY,V2,5620496,2021F/W, 남 ,200회 이상,50개 이상,333,4.6,후기 70개 보기,,"45,504 ~ 47,400원"
68,TR 카고 조거 팬츠,RICONINE,00-08,2021F/W, 남 ,,,15,4.5,후기 8개 보기,  #슬랙스 #조거팬츠 #카고조거 #카고조거팬츠 #카고조거슬랙스 #베이직팬츠 #스트릿  ,"22,417 ~ 24,500원"
69,21FW04NM25 와이드 셋업 팬츠 (네이비),ATTENTIONROW,21FW04NM25,2021F/W, 남 ,900회 이상,50개 미만,64,4.8,후기 133개 보기,  #와이드팬츠 #트레이닝세트 #트레이닝바지 #트레이닝팬츠 #셋업 #트레이닝 #스웨트팬츠  ,"63,000원"
70,(융본딩) 윈시에트 조거 팬츠 그레이,TRMARK,WINCEYETTE  JOGGER PANTS GRAY,2021F/W, 남 ,,,12,5,후기 1개 보기,  #조거바지 #트레이닝팬츠 #밴딩팬츠 #밴딩조거팬츠 #스웨트팬츠 #트레이닝바지  ,"36,384 ~ 37,900원"
71,Over-Line Pants Black,SYNC,SCFWCA21.PT01-1,2022S/S, 남 ,,,23,5,후기 3개 보기,  #와이드팬츠 #트레이닝 #츄리닝 #트레이닝팬츠 #셋업 #트레이닝복 #스웨트팬츠  ,"44,194 ~ 48,300원"
72,세미 와이드 원턱 조거팬츠 블랙,OL FLAME,22SS-PT004,2022S/S, 남 ,1천 회 이상,50개 이상,231,4.8,후기 13개 보기,  #조거트레이닝 #조거팬츠 #스웨트팬츠 #조거바지 #트레이닝팬츠 #스웻팬츠 #와이드팬츠  ,"35,136 ~ 38,400원"
73,카고 조거팬츠 225,SERO JEAN,225,2020F/W, 남 ,,,20,5,후기 3개 보기,,"81,984 ~ 89,600원"
74,와이드 핏 포켓 팬츠_딥 퍼플,BADINBAD,21BASPBPTU001DP,2021S/S, 남 ,200회 이상,,156,4.5,후기 21개 보기,  #밴딩팬츠 #트랙팬츠 #스트링팬츠 #나일론팬츠 #팬츠 #바지 #조거  ,"65,880 ~ 72,000원"
75,Cotton Semi Baggy Pants_ PA3PA0505,DGNAK12,PA3PA0505,2020F/W, 남 ,,,21,5,후기 3개 보기,,"46,720 ~ 51,200원"
76,여성 벨벳 트랙 밴딩팬츠BLACK / MF0WTP11F89,Monkey Flower,MF0WTP11F89,, 여 ,,,41,4.5,후기 11개 보기,  #트레이닝팬츠 #밴딩팬츠 #스웨트팬츠 #벨벳팬츠 #트랙팬츠  ,"47,904 ~ 49,900원"
77,BDU Pants - Black,YMCL KY,YMCLKY,2021S/S, 남 ,500회 이상,50개 미만,107,4.9,후기 30개 보기,,"65,148 ~ 71,200원"
78,LMC ACTIVE GEAR TRANSFORM PANTS camo,LMC,0LM21SPT005CAM,2021S/S, 남 ,100회 이상,,106,5,후기 12개 보기,  #LMC팬츠 #엘엠씨팬츠 #트랜스폼팬츠  ,"98,938 ~ 103,600원"
79,타이거 루즈핏 조거 트레이닝 팬츠 블랙,STUFF,TIGER LOOSEFIT JOGGER TRAINING PANTS BLACK,2021F/W, 남 ,2.2천 회 이상,50개 이상,125,4.8,후기 41개 보기,  #조거팬츠 #트레이닝 #기모바지 #스웨트팬츠 #기모팬츠 #트레이닝팬츠  ,"36,508 ~ 39,900원"
80,타이거 루즈핏 조거 트레이닝 팬츠 그레이,STUFF,TIGER LOOSEFIT JOGGER TRAINING PANTS GRAY,2021F/W, 남 ,,50개 미만,74,4.8,후기 41개 보기,  #조거팬츠 #트레이닝 #기모바지 #스웨트팬츠 #기모팬츠 #트레이닝팬츠  ,"36,508 ~ 39,900원"
81,올마이티 팬츠 [다크 그레이],MUSINSA STANDARD,MMAPC106-DG,2021S/S, 남 ,1.5천 회 이상,300개 이상,412,4.8,후기 600개 보기,  #편한바지 #이지팬츠 #냉장고바지 #스트레치 #캐주얼팬츠 #홈웨어컬렉션 #여름바지 #원마일웨어 #무탠픽업  ,"28,406 ~ 29,590원"
82,플랫 테리 유틸리티 스웨트 팬츠[건메탈],MUSINSA STANDARD,MMBPK102-GT,2022S/S, 남 ,3.3천 회 이상,50개 미만,107,4.9,후기 19개 보기,  #트레이닝복 #스트링팬츠 #스웨트컬렉션 #트레이닝 #테크웨어 #밴딩팬츠  ,"47,904 ~ 49,900원"
83,ISO200 데이 스웨트 카고 조거팬츠 BLACK,KODAK,K1123LKP92BLK,2021S/S, 남 ,400회 이상,50개 미만,70,4.8,후기 11개 보기,  #코닥어패럴 #코닥긴바지 #스웨트팬츠 #조거 #조거팬츠 #스웻팬츠 #트레이닝바지  ,"79,788 ~ 87,200원"
84,BOMB PANTS - MUSTARD,APARTMENT,BOMB PANTS - MUSTARD,2021S/S, 남 ,200회 이상,,33,5,후기 1개 보기,  #조거 #트레이닝팬츠 #조거팬츠 #팬츠 #트레이닝복 #츄리닝 #밴딩팬츠  ,"18,208 ~ 19,900원"
85,UTILITY WIDE STRING PANTS KHAKI,DEFAULT VALUE,D21SNP010KH,2021S/S, 남 ,3.6천 회 이상,50개 이상,202,4.5,후기 140개 보기,  #밴딩 #트레이닝복 #조거 #밴딩팬츠 #츄리닝 #트레이닝팬츠  ,"35,600원"
86,Sweat Jogger Pants - Ivory,NOT4NERD,PT030IV,2021S/S, 남 ,600회 이상,,78,4.8,후기 45개 보기,  #스웻팬츠 #조거팬츠 #츄리닝 #스웨트팬츠 #트레이닝팬츠 #조거 #트레이닝바지  ,"35,685 ~ 39,000원"
87,폰테 카고 와이드 조거 팬츠 차콜,AWESOME STUDIO,ASAJPT006-1,2021F/W, 남 ,100회 이상,,21,5,후기 8개 보기,  #트레이닝팬츠 #스웻팬츠 #조거팬츠 #카고팬츠 #스웨트팬츠 #트레이닝바지 #밴딩팬츠  ,"27,840 ~ 29,000원"
88,헤비나일론 스트레치 트레이닝 조거팬츠_네이비,THAT'S IT,210078,2021F/W, 남 ,100회 이상,,36,5,후기 13개 보기,  #츄리닝바지 #조거팬츠 #트레이닝 #트레이닝팬츠 #트레이닝바지 #셋업 #밴딩팬츠  ,"35,868 ~ 39,200원"
89,EMBROIDERY HANDSOME DAN FLEECE TRACK PANTS KHAKI,YALE,YA9PT1011KH,2021F/W, 남 ,1.1천 회 이상,50개 이상,131,4.7,후기 129개 보기,  #밴딩팬츠 #와이드팬츠 #트레이닝 #바지 #로고 #핸섬댄 #헤리티지 #아이비리그 #유니버시티댄 #클래식  ,"48,300원"
90,J32 면트윌 카고 라이트브라운 (UM423CPTO3),UMBRO,UM423CPTO3_LBR,2021F/W, 남 여 ,400회 이상,,38,4.9,후기 75개 보기,  #이지웨어 #트랙팬츠 #트레이닝팬츠 #조거팬츠 #면트윌팬츠 #카고팬츠  ,"118,035 ~ 129,000원"
91,폰테 카고 와이드 조거 팬츠 차콜,AWESOME STUDIO,ASAJPT006-1,2021F/W, 남 ,100회 이상,,21,5,후기 8개 보기,  #트레이닝팬츠 #스웻팬츠 #조거팬츠 #카고팬츠 #스웨트팬츠 #트레이닝바지 #밴딩팬츠  ,"27,840 ~ 29,000원"
92,유니섹스 벨벳  플리츠 조거  팬츠_차콜그레이,TRIP LE SENS,TLS21FW026,, 남 ,,,28,4.8,후기 4개 보기,  #조거팬츠 #조거 #트레이닝팬츠 #트레이닝 #트레이닝세트 #벨벳 #플리츠  ,"47,580 ~ 52,000원"
93,EMBROIDERY HANDSOME DAN FLEECE TRACK PANTS KHAKI,YALE,YA9PT1011KH,2021F/W, 남 ,1.1천 회 이상,50개 이상,131,4.7,후기 129개 보기,  #밴딩팬츠 #와이드팬츠 #트레이닝 #바지 #로고 #핸섬댄 #헤리티지 #아이비리그 #유니버시티댄 #클래식  ,"48,300원"
94,헤비나일론 스트레치 트레이닝 조거팬츠_네이비,THAT'S IT,210078,2021F/W, 남 ,100회 이상,,36,5,후기 13개 보기,  #츄리닝바지 #조거팬츠 #트레이닝 #트레이닝팬츠 #트레이닝바지 #셋업 #밴딩팬츠  ,"35,868 ~ 39,200원"
95,마일 기모 벌룬 스웨트팬츠 다크그레이 DELP4444,PERSTEP,2161824,2021F/W, 남 ,400회 이상,50개 미만,80,4.8,후기 204개 보기,  #캐주얼팬츠 #스웻팬츠 #밴딩팬츠 #스웨트팬츠 #바지 #팬츠  ,"34,587 ~ 37,800원"
96,DNA 모노그램 테이프 트랙 팬츠 크림,NERDY,PNES21KB2002,2021F/W, 남 ,200회 이상,50개 미만,88,4.7,후기 9개 보기,,"48,861 ~ 53,400원"
97,카고 스웨트팬츠 - 워시드 블랙,D.PRIQUE,D11P2134,2021F/W, 남 ,700회 이상,50개 미만,83,4.7,후기 19개 보기,  #스웻팬츠 #스웨트팬츠 #조거팬츠 #조거 #피그먼트 #카고팬츠 #셋업  ,"118,035 ~ 129,000원"
98,더블 코마 와이드 팬츠 (베이지),ESY25,DCWP1,2021F/W, 남 ,400회 이상,50개 미만,71,4.7,후기 10개 보기,  #밴딩팬츠 #트레이닝세트 #와이드팬츠 #팬츠 #트레이닝팬츠  ,"20,160 ~ 21,000원"
99,MARITHE COLLEGE SWEATPANTS ivory,MARITHE FRANCOIS GIRBAUD,0MG21FSP101,2021F/W, 여 ,400회 이상,,129,4.8,후기 22개 보기,,"81,435 ~ 89,000원"
100,591 코듀로이 카고 팬츠_크림,LADY VOLUME,5450913,2021F/W, 여 ,4.1천 회 이상,50개 이상,277,4.6,후기 93개 보기,,"42,903 ~ 44,925원"
101,레트로 루즈핏 조거 트레이닝 팬츠 그레이,STUFF,RETRO LOOSE FIT JOGGER TRAINING PANTS GRAY,2021F/W, 남 ,800회 이상,50개 미만,66,4.8,후기 21개 보기,  #추리닝 #트레이닝팬츠 #셋업 #트레이닝셋업 #트레이닝세트 #조거팬츠 #스웻팬츠  ,"38,304 ~ 39,900원"
