,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,Edgewalker x acme de la vie DENIM PANTS DARKBLUE,ACME DE LA VIE,ADLV-22SS-PTEWDP-DBL,2022S/S, 남 ,,,12,,,  #데님컬렉션 #바지 #청바지 #기본데님 #캐주얼팬츠 #스트레이트 #데님팬츠  ,"108,885 ~ 119,000원"
1,CHECKER BOARD DENIM PANTS LIGHT BLUE,MARKM,MEFAA45110,2022S/S, 남 ,100회 이상,,38,,,  #와이드팬츠 #데님팬츠 #와이드청바지 #와이드데님 #체커보드 #체커보드데님  ,"81,435 ~ 89,000원"
2,네이비 하이웨이스트 데님 팬츠_슬림 스트레이트 (322121EP5R),8SECONDS,322121EP5R,2022S/S, 여 ,,,47,4,후기 8개 보기,  #322121EP5R  ,"38,304 ~ 39,900원"
3,미드 웨이스트 플레어 화이트진 알라스카,KANCAN,KC6102WT,2022S/S, 여 ,,,22,,,  #여성데님 #화이트진 #부츠컷 #플레어진 #흰청 #청바지 #데님  ,"63,135 ~ 69,000원"
4,오르몬드 로우 인디고,DR.DENIM,001,200회이상, 남 ,200회 이상,,77,4.7,후기 19개 보기,  #남성데님 #남성바지 #남성청바지 #데님 #바지 #슬림스트레이트 #청바지  ,"29,000원"
5,오르몬드 블랙,DR.DENIM,005,2015ALL, 남 ,100회 이상,,33,4.7,후기 10개 보기,  #블랙  ,"38,000원"
6,2017  블리치 브러쉬-라이트블루,UNTOUCHED,UTW77,2017S/S, 남 ,,,29,5,후기 4개 보기,  #슬림 #연청 #연청진 #워싱 #청바지  ,"53,070 ~ 58,000원"
7,키시 나이트 쉐도우,DR.DENIM,1057,2017S/S, 여 ,,,14,,,  #데님 #레깅스진 #스키니진  ,"19,000원"
8,클락 블루 콘크리트,DR.DENIM,049,2015ALL, 남 ,,,12,,,  #데님 #워싱진 #청바지 #DENIM  ,"38,000원"
9,스냅 다크 워시,DR.DENIM,072,, 남 ,,,3,5,후기 4개 보기,  #워싱  ,"28,000원"
10,SuperGuy Left Hand Twill Selvedge,NAKED&FAMOUS,012770,200회이상, 남 ,200회 이상,,59,5,후기 7개 보기,  #네페진 #데님 #생지데님 #셀비지데님  ,"198,000원"
11,베이직 슬림 데님 (2colors) CVTJC2401M,CLOVIS,590925,2022ALL, 여 ,,,7,,,,"45,658 ~ 49,900원"
12,STRAIGHT FIT DENIM,LOW CLASSIC,LOW22SS_JN01DE,2022S/S, 여 ,600회 이상,50개 미만,151,3.4,후기 5개 보기,  #로우클래식22SS #로우클래식팬츠 #로우클래식데님 #로우클래식청바지  ,"181,170 ~ 198,000원"
13,기모 스판 슬림 진_deep blue,HAINT,HLNDP014B,2021F/W, 여 ,200회 이상,,51,4.8,후기 4개 보기,  #데님 #팬츠 #여성데님 #바지 #여자바지  ,"50,325 ~ 55,000원"
14,리사이클 롱 와이드 빈티지 데님 딥 블루,NINEWEEKS,NWDJW110,2021F/W, 남 ,200회 이상,,36,4.7,후기 13개 보기,  #와이드팬츠 #와이드 #와이드데님 #와이드데님팬츠 #데님팬츠 #스트레이트 #리사이클  ,"66,703 ~ 72,900원"
15,Underair Destrosed jean,UNDERAIR,Underair Destrosed jean,, 남 ,,,52,4.7,후기 11개 보기,  #디스트로이드  ,"15,463 ~ 16,900원"
16,오버랩  백포켓 와이드 데님 팬츠 [중청],MNL,MNL_PT015_MIDDLEBLUE,2020F/W, 남 ,300회 이상,,122,4.3,후기 3개 보기,  #와이드청바지 #와이드데님 #세미와이드 #와이드팬츠 #청바지 #데님팬츠 #와이드  ,"93,330 ~ 102,000원"
17,Relaxed Washed Jeans Sand Blue,FOYER,1670893,2020F/W, 여 ,,,187,4.8,후기 4개 보기,  #바지 #긴바지 #팬츠 #데님팬츠 #데님 #청바지 #워싱진  ,"74,872 ~ 78,400원"
