,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,클래식 트랙 팬츠 - 블랙,D.PRIQUE,D13P3383,2022S/S, 남 ,,,3,5,후기 1개 보기,  #팬츠 #밴딩팬츠 #와이드팬츠 #트레이닝팬츠 #트랙팬츠 #셋업 #트레이닝  ,"108,885 ~ 119,000원"
1,UFC 디지털 카모 저지 세트 팬츠 베이 U2TPT1161BE,UFC SPORT,U2TPT1161BE,2022S/S, 남 ,,,3,,,,"127,185 ~ 139,000원"
2,UFC 디지털 카모 저지 세트 팬츠 블랙 U2TPT1161BK,UFC SPORT,U2TPT1161BK,2022S/S, 남 ,,,4,,,,"127,185 ~ 139,000원"
3,UFC 카고 저지 팬츠 블랙 U2LPT1134BK,UFC SPORT,U2LPT1134BK,2022S/S, 남 ,,,5,,,,"145,485 ~ 159,000원"
4,UFC UT 파이핑 저지 팬츠 라이트그린 U1LPT1133LE,UFC SPORT,U1LPT1133LE,2022S/S, 남 ,,,5,,,,"108,885 ~ 119,000원"
5,여성 트레이닝 조거 팬츠 그레이 FMBPT762FGY,CLRIDEN,FMBPT762FGY,2022S/S, 여 ,,,0,,,,"54,717 ~ 59,800원"
6,무지 일자 트레이닝바지,CROSSDOT,802829217,2022S/S, 남 ,,,1,,,  #팬츠 #트레이닝팬츠 #트레이닝바지 #바지 #로고 #일자바지 #긴바지  ,"26,535 ~ 29,000원"
7,NTM-U.S. AIR FORCE 20 SWEATPANTS,NAVYTEAM,42117,2022S/S, 남 ,,,0,,,  #와이드팬츠 #스웨트셋업 #스웨트팬츠 #트레이닝바지 #밴딩팬츠 #조거바지 #조거  ,"61,305 ~ 67,000원"
8,언택트 테니스 클럽 자수 루즈 핏 포켓 조거팬츠 올리브,AKIIICLASSIC,AKALSU31135900,2022S/S, 남 ,,,0,,,,"53,985 ~ 59,000원"
9,Bucket Wappen Sweat Pants White,I AM THE FUTURE,35BU020802,2022S/S, 남 ,,,24,,,  #면팬츠 #오버핏 #밴딩팬츠 #조거팬츠 #캐주얼팬츠  ,"99,735 ~ 109,000원"
10,유라희 로고 긴 바지(cc_01),YOUR LIFE HERE,유라희 로고 긴 바지(cc_01),2022S/S, 남 ,,,3,,,,"63,135 ~ 69,000원"
11,standard string pants / gray,MMOGARDEN,013,2021S/S, 남 ,,,3,,,  #바지 #밴딩팬츠 #팬츠 #스트링팬츠 #면팬츠 #나일론팬츠  ,"69,540 ~ 76,000원"
12,standard string pants / black,MMOGARDEN,015,2021S/S, 남 ,,,3,,,  #바지 #팬츠 #스트링팬츠 #밴딩팬츠 #면팬츠 #나일론팬츠  ,"69,540 ~ 76,000원"
13,003  ‘a’ 로고 스웻 팬츠 블랙,SAI,SW302,2022S/S, 남 ,,,8,,,,"63,135 ~ 69,000원"
14,고딕크로스금박 일자 트레이닝바지,CROSSDOT,802835091,2022S/S, 남 ,,,0,,,  #팬츠 #트레이닝팬츠 #트레이닝바지 #바지 #로고 #일자바지 #긴바지  ,"32,025 ~ 35,000원"
15,워런 고신축 조거 팬츠 OMPTL2153-199,ONEILL,OMPTL2153-199,2022S/S, 남 ,,,3,,,  #스웨트팬츠 #조거팬츠 #팬츠 #트레이닝바지 #조거바지 #스웻팬츠  ,"145,485 ~ 159,000원"
16,디오렌지클럽 로고 스웻 팬츠 2color,UNCOATED 247,1494286,2022S/S, 남 ,,,3,,,,"59,978 ~ 65,550원"
17,RC LOGO PANTS [NAVY],RETRIEVER CLUB,RC2SBO109NV,2022S/S, 남 ,,,97,5,후기 7개 보기,  #트레이닝팬츠 #밴딩팬츠 #와이드팬츠 #조거팬츠 #스웻팬츠 #팬츠 #로고  ,"65,550원"
18,티볼리 팬츠 (카키),IFG5,PT210914014,2022S/S, 여 ,,,5,,,  #팬츠 #캐주얼팬츠 #밴딩팬츠 #꾸안꾸 #일자핏 #일자바지  ,"26,535 ~ 29,000원"
19,cotton cargo jogger pants_CWPAM22471BKX,CUSTOMELLOW,CWPAM22471BKX,2022S/S, 남 ,,,2,,,  #커스텀멜로우팬츠 #남성팬츠  ,"200,385 ~ 219,000원"
20,R TERRY MIX JOGGER PANTS [2colors],THE ROCKET,RL221PT004,2022S/S, 여 ,,,20,,,  #조거팬츠 #팬츠 #테리 #22S/S신상품 #밴딩팬츠  ,"99,735 ~ 109,000원"
21,베이직 조거 팬츠_멜란지 그레이  LPQSCPJ711MGYM,POLKIN,LPQSCPJ711MGYM,2022S/S, 남 ,,,45,3.5,후기 2개 보기,  #밴딩팬츠 #스웻팬츠 #조거팬츠 #트레이닝팬츠 #트레이닝 #스웨트팬츠 #와이드팬츠  ,"35,685 ~ 39,000원"
22,WOMEN THE LOOSE-FIT SWEAT PANTS (PASTEL LAVENDER),C DE NOIRS,C22SSCPLV,2022S/S, 여 ,,,1,,,,"136,335 ~ 149,000원"
23,불꽃 조거팬츠-블랙,WICK,32356,2022S/S, 남 ,100회 이상,,56,5,후기 7개 보기,  #바지 #조거팬츠 #22S/S신상품 #팬츠 #조거 #스웻팬츠 #트레이닝복  ,"56,730 ~ 62,000원"
24,루즈핏 스웨트 팬츠 헤더 그레이,D31,DU22SK4002 HG,2022S/S, 남 ,,,2,,,  #조거바지 #스웻팬츠 #스웨트팬츠 #트레이닝팬츠 #조거팬츠 #트레이닝복 #트레이닝바지  ,"43,188 ~ 47,200원"
25,N/H - 1989 특양면 조거 팬츠_블랙 (SNPNH-1102),NUHABIT,m1037_844116,2022S/S, 남 ,,,5,,,,"36,417 ~ 39,800원"
26,셋업 저지 스트레이트 팬츠 블랙 LMAPT641FBK,LONSDALE,LMAPT641FBK,2022S/S, 남 ,,,0,,,,"99,735 ~ 109,000원"
27,컬리지 액티브 팬츠 (T32C1WPC33TMT7C87),TOMMY JEANS,T32C1WPC33TMT7C87,2022S/S, 남 ,,,3,,,,"128,770 ~ 158,000원"
28,베이직 팬츠 CHARCOAL,NFL,F222UPT282094,2022S/S, 남 여 ,,,2,,,  #팬츠 #조거팬츠 #트레이닝바지 #조거 #트레이닝 #바지 #조거바지  ,"99,735 ~ 109,000원"
29,해비 라인 조거팬츠 (블랙),SSOJI,22SSPT10BK,2022S/S, 남 ,,,4,,,  #조거팬츠 #트레이닝 #헤비스웻컬렉션 #트레이닝바지 #22SPRING #트레이닝복 #조거  ,"81,526 ~ 89,100원"
30,에센셜 남성 하프밴드 쿨팬츠 (D/NAVY),DISCOVERY EXPEDITION,DMPT61023-NYD,2022S/S, 남 ,,,0,5,후기 2개 보기,  #디스커버리 #팬츠 #바지 #팬츠추천 #쿨팬츠 #골프컬렉션  ,"99,735 ~ 109,000원"
31,에센셜 남성 하프밴드 쿨팬츠 (D/GREY),DISCOVERY EXPEDITION,DMPT61023-GRD,2022S/S, 남 ,,,1,5,후기 2개 보기,  #디스커버리 #팬츠 #바지 #팬츠추천 #쿨팬츠 #골프컬렉션  ,"99,735 ~ 109,000원"
32,Aclassic 로고 루즈핏 조거팬츠 샌드,AKIIICLASSIC,AKALSU30524400,2022S/S, 남 여 ,,,10,,,,"53,985 ~ 59,000원"
33,이지 와이드 카고팬츠(샌드카키),CONICHIWA BONJOUR,CB22SWCPSK,2022S/S, 남 ,,,49,5,후기 1개 보기,  #스웻팬츠 #조거팬츠 #카고팬츠 #카고바지 #와이드팬츠 #와이드카고팬츠  ,"89,670 ~ 98,000원"
34,나인 스웨트 조거  팬츠 그레이,NINEWEEKS,NWDCJ162,2022S/S, 남 ,,,7,,,  #조거 #조거팬츠 #조거바지 #트레이닝팬츠 #트레이닝세트 #스웻팬츠 #트레이닝복  ,"58,240 ~ 63,650원"
35,케레즈 스웻팬츠 브라운,WAVE UNION,WU212102BR,2022S/S, 여 ,,,5,,,,"56,730 ~ 62,000원"
36,뉴 플래그 조거 팬츠 (블랙),VETEZE,NFJP4,2022S/S, 남 ,,,19,,,  #조거바지 #조거 #바지 #밴딩팬츠 #조거팬츠 #팬츠 #트레이닝  ,"43,920 ~ 48,000원"
