,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,조거팬츠 -딥그린,MOTT,mott sweat Pants 7color (deep green),2021S/S, 여 ,,,51,,,  #스웻팬츠 #트레이닝 #스웨트팬츠 #트레이닝팬츠 #조거 #조거팬츠 #밴딩  ,"54,605 ~ 59,680원"
1,CB 아콘 벨벳 팬츠 (네이비),CARGOBROS,CB204702,2020F/W, 남 ,100회 이상,50개 미만,173,4.8,후기 42개 보기,  #트레이닝 #트레이닝팬츠 #트레이닝복 #트레이닝바지 #밴딩팬츠 #벨벳바지 #벨벳팬츠  ,"32,025 ~ 35,000원"
2,ARC SWEAT PANTS_OATMEAL,BRIAN BERRY,BBPL0A1011OT,2020S/S, 남 ,,,10,5,후기 2개 보기,,"57,645 ~ 63,000원"
3,클래식 로고 스탠다드 조거팬츠 그레이,OL FLAME,20FW-PT002,2020F/W, 남 ,700회 이상,50개 미만,183,4.5,후기 10개 보기,  #조거팬츠 #트레이닝셋업 #스웨트팬츠 #조거 #캐주얼팬츠 #트레이닝바지 #트레이닝 #셋업  ,"37,440 ~ 39,000원"
4,스트링 조거_블랙,RICONINE,00-68,2021F/W, 남 ,,,4,5,후기 2개 보기,  #조거팬츠 #트레이닝팬츠 #트레이닝바지 #스웨트팬츠 #조거바지 #남자조거팬츠 #오버핏  ,"90,585 ~ 99,000원"
5,벨벳 포켓 조거 팬츠 블랙,METAPHER,M-PT008,2020F/W, 남 ,,,16,4.6,후기 8개 보기,  #트레이닝 #조거팬츠 #스웻팬츠 #스웨트팬츠 #스트링 #트레이닝바지 #밴딩팬츠 #조거  ,"55,680 ~ 58,000원"
6,FLYAGD 플래쉬 트레이닝팬츠 (블랙),AGOODDAY,AGD004,2021F/W, 남 ,,,12,,,  #스웻팬츠 #셋업 #트레이닝바지 #트레이닝팬츠 #힙합 #여자조거팬츠 #밴딩팬츠  ,"62,220 ~ 68,000원"
7,레터링 로고 조거 스웨트 팬츠 [블루 메란지],RUNNING HIGH,22SS-B2-3,2022S/S, 여 ,400회 이상,,204,5,후기 2개 보기,  #바지 #셋업 #밴딩팬츠 #조거 #스웨트팬츠 #조거바지 #팬츠  ,"78,690 ~ 86,000원"
8,CP-208 P-3M Cargo Pants_BG,HALBKREIS,CP-208_BG,2020F/W, 남 ,200회 이상,,43,4.4,후기 13개 보기,  #밴딩팬츠 #와이드팬츠 #카고팬츠 #카고바지 #밴딩 #와이드 #플리스팬츠  ,"47,580 ~ 52,000원"
9,7 college 조거 팬츠(블랙),CAPSNSTUFF,CA213TP001,2021F/W, 남 여 ,,,31,4.9,후기 19개 보기,  #남자바지 #여자바지 #트레이닝팬츠 #면바지 #츄리닝바지 #추리닝바지 #조거팬츠  ,"61,762 ~ 67,500원"
10,UL:KIN UKN Logo Embroidery SweatPants_Grey,ULKIN,202UWUPT001GR,2022S/S, 남 ,,,5,,,  #스웻팬츠 #스웨트팬츠 #조거팬츠 #셋업 #밴딩팬츠  ,"72,285 ~ 79,000원"
11,스케일 라인 트랙 팬츠 MSOTP002-BK,MASSNOUN,MSOTP002-BK,2021S/S, 남 ,100회 이상,,112,,,  #트레이닝팬츠 #셋업 #트레이닝 #밴딩팬츠 #트랙팬츠  ,"48,000원"
12,퍼티그 엔진 기모 조거 라이트카키,NINEWEEKS,NWWCJ134,2022S/S, 남 ,200회 이상,,21,1,후기 2개 보기,  #조거팬츠 #조거바지 #기모조거 #면바지 #밴딩팬츠 #밴딩바지 #남자조거팬츠  ,"18,144 ~ 18,900원"
13,Floral Pants Light Grey,FASTLE,FSTL22SSPT02LG,2022S/S, 남 여 ,500회 이상,50개 미만,289,4.8,후기 49개 보기,  #트레이닝팬츠 #스웨트팬츠 #트레이닝바지 #조거팬츠 #밴딩팬츠 #팬츠 #와이드팬츠  ,"63,135 ~ 69,000원"
14,HEAVY SWEAT JOGGER PANTS [Black],DEHO,21-SPT-001,2021F/W, 남 ,,,5,5,후기 4개 보기,,"89,670 ~ 98,000원"
15,[22SS] 마운트업 헤비 트레이닝 팬츠 남색 JULP4469,PERSTEP,2213167,2022S/S, 남 ,400회 이상,,48,4.8,후기 46개 보기,  #트레이닝복 #트레이닝팬츠 #밴딩팬츠 #조거팬츠 #트레이닝바지 #스웻팬츠 #트레이닝셋업  ,"33,763 ~ 36,900원"
16,MONA JOGGER PANTS (모나 조거 팬츠) - BLACK,DEARSTALKER,1248290,2022S/S, 여 ,,,36,3,후기 2개 보기,,"25,912 ~ 28,320원"
17,STRETCH DENIM PANTS COKA WASHED20,MANIAMASS,COKA WASHED20,2020F/W, 남 ,,,61,5,후기 3개 보기,  #조거팬츠 #테크웨어 #데님팬츠 #카고팬츠 #카고조거팬츠 #밴딩팬츠 #워싱팬츠  ,"113,643 ~ 124,200원"
18,TDYP 로고 스웨트 트랙팬츠 [OLIVE],TEDDYPOP,TPBSSATP02GN,2022S/S, 남 ,,,19,4.9,후기 10개 보기,  #일자바지 #긴바지 #밴딩팬츠 #트레이닝 #트레이닝팬츠 #이지웨어 #스웻팬츠  ,"36,417 ~ 39,800원"
19,린넨 밴딩 팬츠 [조거 핏]_카키_남녀공용,EASE,linen banding pants [jogger fit]_khaki,2020S/S, 남 ,100회 이상,,30,,,  #린넨 #마 #밴드 #밴딩 #조거 #휴가  ,"50,325 ~ 55,000원"
20,스웨트 조거 팬츠_그레이,FLOPPY&DISK,210031,2021F/W, 여 ,,,46,5,후기 3개 보기,  #트레이닝셋업 #트레이닝팬츠 #츄리닝바지 #스웻팬츠 #트레이닝바지 #조거팬츠 #트레이닝  ,"38,887 ~ 42,500원"
21,써머 세미 와이드 밴딩 팬츠- 블랙,GOSTREET,2021H-S,2021S/S, 남 ,300회 이상,50개 미만,82,4.3,후기 3개 보기,  #트레이닝팬츠 #밴딩팬츠 #와이드팬츠 #조거 #나일론팬츠 #트레이닝바지 #조거팬츠  ,"51,240 ~ 56,000원"
22,패러슈트 백새틴 팬츠 Black,GRAMICCI,GMP-21F018,2021F/W, 남 ,100회 이상,,37,,,  #페러슈트팬츠 #밴딩팬츠  ,"130,936 ~ 143,100원"
23,22 더모먼트 와이드 조거 스웻 팬츠 블랙 (논기모),FEVERTIME,22_003,2022S/S, 여 ,,,115,5,후기 5개 보기,  #트레이닝바지 #조거팬츠 #스웻팬츠 #트레이닝팬츠 #와이드팬츠  ,"53,985 ~ 59,000원"
24,스피드러너 팬츠,OZOD,00-06,2019F/W, 여 ,,,34,5,후기 3개 보기,  #팬츠 #바지 #레자팬츠  ,"107,970 ~ 118,000원"
25,POCKET DETAIL SWEATPANTS - GREY,I AM NOT A HUMAN BEING,H2B9034,2020F/W, 남 ,500회 이상,50개 미만,97,4.9,후기 14개 보기,  #트레이닝바지 #트레이닝팬츠 #바지 #팬츠 #데일리 #카고조거팬츠 #무지  ,"68,625 ~ 75,000원"
26,[POP] 여성 셋업 조거팬츠,GUESS WOMEN,OL3K5842,2021F/W, 여 ,600회 이상,50개 미만,87,5,후기 15개 보기,,"35,685 ~ 39,000원"
27,FUKC PONR Sweat Pants [Cobalt Blue],AJOBYAJO,SS-11,2021S/S, 남 여 ,200회 이상,50개 미만,95,5,후기 6개 보기,  #트레이닝바지 #트레이닝팬츠 #조거팬츠 #츄리닝 #트레이닝복 #트레이닝세트 #스웻팬츠  ,"67,344 ~ 73,600원"
28,Cargo Jogger Pants BK,MARKM,MAFAC45240,2020S/S, 남 ,300회 이상,50개 미만,80,4.3,후기 8개 보기,  #여름긴바지 #조거팬츠 #카고바지 #카고조거팬츠 #코튼팬츠  ,"81,435 ~ 89,000원"
